Document Title,Authors,Publication Year,DOI,PDF Link,Keywords,Abstract,Venue
"""Telugu OCR using Dictionary Learning and Multi-Layer Perceptrons""",G. Madhuri; M. N. L. Kashyap; A. Negi;,2019,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8940599,Dictionary Learning;Sparse Coding;Signal Processing;Telugu Optical Character Recognition (OCR);Deep Learning;,"""Dictionary Learning (DL) methods have been applied successfully in image processing applications like image de-noising, inpainting, mostly using their representation and reconstruction capabilities. From our experimentation and also from literature, it is seen that the performance of DL approaches on classification tasks is not satisfactory. Especially, the performance is seen to degrade with higher dimensionality and increasing number of classes. We propose a hybrid approach to overcome the classification problem encountered by DL approaches. The novel approach uses the strengths of data abstraction and reconstruction from the DL methods while realising a high classification accuracy through a simple Multi-Layer Perceptron (MLP). In the proposed approach, data abstraction is achieved by the DL method and learned sparse codes are used as inputs for training the MLP. The training is relatively fast as the entire dataset need not be trained. The objective is to minimize the computational requirements for classifying complex datasets like Telugu OCR, without compromising the performance. The method has been tested on University of Hyderabad Telugu Printed Connected Components (UHTelPCC) and Modified National Institute of Standards and Technology database (MNIST) datasets with results comparable to the state-of-the-art methods.""","2019 International Conference on Computing, Power and Communication Technologies (GUCON)"
"""SparseBEV: High-Performance Sparse 3D Object Detection from Multi-Camera Videos""",H. Liu; Y. Teng; T. Lu; H. Wang; L. Wang;,2023,10.1109/ICCV51070.2023.01703,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10377285,;,"""Camera-based 3D object detection in BEV (Bird’s Eye View) space has drawn great attention over the past few years. Dense detectors typically follow a two-stage pipeline by first constructing a dense BEV feature and then performing object detection in BEV space, which suffers from complex view transformations and high computation cost. On the other side, sparse detectors follow a query-based paradigm without explicit dense BEV feature construction, but achieve worse performance than the dense counterparts. In this paper, we find that the key to mitigate this performance gap is the adaptability of the detector in both BEV and image space. To achieve this goal, we propose SparseBEV, a fully sparse 3D object detector that outperforms the dense counterparts. SparseBEV contains three key designs, which are (1) scale-adaptive self attention to aggregate features with adaptive receptive field in BEV space, (2) adaptive spatio-temporal sampling to generate sampling locations under the guidance of queries, and (3) adaptive mixing to decode the sampled features with dynamic weights from the queries. On the test split of nuScenes, SparseBEV achieves the state-of-the-art performance of 67.5 NDS. On the val split, SparseBEV achieves 55.8 NDS while maintaining a real-time inference speed of 23.5 FPS. Code is available at https://github.com/MCG-NJU/SparseBEV.""",2023 IEEE/CVF International Conference on Computer Vision (ICCV)
"""Sparse Time–Frequency Analysis of Seismic Data: Sparse Representation to Unrolled Optimization""",N. Liu; Y. Lei; R. Liu; Y. Yang; T. Wei; J. Gao;,2023,10.1109/TGRS.2023.3300578,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10198290,Deep learning (DL);seismic attenuation;sparse time–frequency analysis (STFA);unrolled algorithm;unsupervised learning;,"""Time–frequency analysis (TFA) is widely used to describe local time–frequency (TF) features of seismic data. Among the commonly used TFA tools, sparse TFA (STFA) is an excellent one, which can obtain a TF spectrum with good readability. However, many STFA algorithms suffer from expensive calculation time and unavoidable prior knowledge, such as the iterative shrinkage-thresholding algorithm (ISTA) and the sparse reconstruction by separable approximation (SpaRSA). Inspired by the unrolled algorithm and its successful applications in signal processing, we propose a deep learning (DL)-based ISTA unrolled algorithm, which is named the sparse time–frequency analysis network (STFANet). The STFANet contains two parts, i.e., the sparse TF spectrum generator and the reconstruction module. The former learns how to transform a 1-D seismic signal from a large amount of unlabeled data into a 2-D sparse TF spectrum, which is implemented based on the proposed unrolled iterative dynamic shrinkage-thresholding (UIDST) algorithm. Note that the UIDST algorithm is carried out by using a simplified DL network. The latter serves as a physical constraint of model training to ensure that our generator obtains an accurate TF spectrum, which is actually an inverse TF transform. In this study, the traditional inverse short-time Fourier transform (STFT) is utilized in the reconstruction module. To test the effectiveness of the proposed model, we apply it to 3-D poststack field data. The results show that, compared with the traditional TFA tools, the STFANet can availably compute the TF spectrum with better readability, which benefits seismic attenuation delineation.""",IEEE Transactions on Geoscience and Remote Sensing
"""Architecture for an Ultrasound Advanced Open Platform With an Arbitrary Number of Independent Channels""",D. Mazierli; A. Ramalli; E. Boni; F. Guidi; P. Tortoli;,2021,10.1109/TBCAS.2021.3077664,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9424708,3-D beamforming;high frame rate imaging;matrix array;multi-channel;open scanner;sparse array;synchronization;ultrasound;,"""Ultrasound open platforms are programmable and flexible tools for the development and test of novel methods. In most cases, they embed the electronics for the independent control of (maximum) 256 probe elements. However, a higher number of channels is needed for the control of 2-D array probes. This paper presents a system architecture that, through the hardware and software synchronization of multiple ULA-OP 256 scanners, may implement advanced open platforms with an arbitrary number of channels. The proposed solution needs a single personal computer, maintains real-time features, and preserves portability. A prototype demonstrator, composed of two ULA-OP 256 scanners connected to 512 elements of a matrix array, was implemented and tested according to different channel configurations. Experiments performed under MATLAB control confirmed that by doubling the number of elements (from 256 to 512) the signal-to-noise and contrast ratios improve by 9 dB and 3 dB, respectively. Furthermore, as a full 512-channel scanner, the demonstrator can produce real-time B-mode images at 18 Hz, high enough for probe positioning during acquisitions. Also, the demonstrator permitted the implementation of a new high frame rate, bi-plane, triplex modality. All probe elements are excited to simultaneously produce two planar, perpendicular diverging waves. Each scanner independently processes the echoes received by the 256 connected elements to beamform 1300 frames per second. For each insonified plane, good quality morphological (B-mode), qualitative (color flow-), and quantitative (spectral-) Doppler images are finally shown in real-time by a dedicated interface.""",IEEE Transactions on Biomedical Circuits and Systems
"""Online reconstruction of fast dynamic MR imaging using deep low-rank plus sparse network""",C. Wang; S. Jia; Z. Yan; Y. Zheng; S. Liu; H. Wang; D. Liang; Y. Zhu;,2022,10.1109/CBMS55023.2022.00036,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9867108,L+S-Net;online dynamic MR imaging;Gadgetron;SigPy GPU;,"""In order to test the performance of online reconstruction of deep low-rank pulse sparse network (L+S-Net) for fast dynamic MR imaging. The L+S-Net was implemented on Gadgetron platform for online reconstruction of the scanner. Although L+S-net has a good image reconstruction performance., it takes a long time to estimate the coil sensitivity using ESPIRiT method. In this study, SigPy's signal processing software package was adopted to accelerate the calculation of coil sensitivity to speed up the online reconstruction. The results of experiments showed that compared with the CPU based method., the time of the coil sensitivity estimation could be shortened more than 100 times by using the gridding reconstruction method based on SigPy GPU. The reconstruction performance is stable and can realize online fast dynamic MR imaging reconstruction within 10 seconds.""",2022 IEEE 35th International Symposium on Computer-Based Medical Systems (CBMS)
"""Longitudinal and Multi-modal Data Learning for Parkinson’s Disease Diagnosis via Stacked Sparse Auto-encoder""",S. Li; H. Lei; F. Zhou; J. Gardezi; B. Lei;,2019,10.1109/ISBI.2019.8759385,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8759385,Stacked sparse Auto-encoder;Parkinson’s disease;classification;longitudinal data;,"""Computer aided diagnosis of Parkinson's disease (PD) by using the multi-modality imaging data is a challenging task and a topic of keen interest in the recent years. Feature representation plays a vital role in diagnosis. In previous studies, deep learning (DL) has been a great success in the field of feature representation learning. However, DL methods still need to overcome the issues of overfitting and data insufficiency. In the current study, we propose a stacked sparse auto-encoder (SSAE) based feature encoding algorithm. The proposed SSAE effectively trains on a small-scale data and computes the significant feature representation for PD diagnosis. The feature representation is learned via longitudinal multi-modal neuroimaging data for PD diagnosis. We first train and test the baseline data with the 10-fold cross-validation method, then we exploit the baseline data to train a classification model to complete the classification task in future time points. A number of experiments are carried out to verify the effectiveness of our method on the publicly available Parkinson's Progression Markers Initiative (PPMI) dataset. The experimental results show that the proposed method works efficiently on a small dataset and achieves significant classification results as compared to existing common DL methods.""",2019 IEEE 16th International Symposium on Biomedical Imaging (ISBI 2019)
"""Document Representations to Improve Topic Modelling""",P. V. Poojitha; R. R. K. Menon;,2020,10.1109/ICSSA51305.2020.00022,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9510021,topic modeling;sparse matrix;dictionary representation;Latent Dirichlet Allocation;Orthogonal Matching Pursuit;clustering;TF-IDF;document detection;,"""Each and every day we are collecting lots of information from web applications. So it is difficult to understand or detect what the whole information is all about. To detect, understand and summarise the whole information we need some specific tools and techniques like topic modelling which helps to analyze and identify the crisp of the data. This paper implements the sparsity based document representation to improve Topic Modeling, it organizes the data with meaningful structure by using machine learning algorithms like LDA(Latent Dirichlet Allocation) and OMP(Orthogonal Matching Pursuit) algorithms. It identifies a documents belongs to which topic as well as similarity between documents in an existing dictionary. The OMP(Orthogonal Matching Pursuit) algorithm is the best algorithm for sparse approximation With better accuracy. OMP(Orthogonal Matching Pursuit) algorithm can identify the topics to which the input document[Y] is mostly related to across a large collection of text documents present in a dictionary.""",2020 International Conference on Software Security and Assurance (ICSSA)
"""A new signal analysis method for functional near-infrared spectroscopy""",Z. Zhongpeng; H. Wenxue;,2016,10.1109/ICCSN.2016.7586628,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7586628,functional near-infrared spectroscopy;visualization pattern classification;principle of multivariate graph;partial ordered structure;sparse representation;,"""For research and application of functional near-infrared spectroscopy in neuroscience, appropriate signal analysis method of functional near-infrared spectroscopy is significant. Most of researchers have applied traditional statistical features for feature extraction, and classic machine learning method like support vector machine for further analysis. In this paper, a new feature extraction method based on principles of multivariate graphic representation has been proposed. Then, supervised sparse representation based on partial order structure theory has been suggested for signal pattern classification. Both methods have been tested by signal analysis experiment of functional near-infrared spectroscopy, which is designed to achieve mental workload assessment during n-back work memory experiment. The result indicated, new methods of this work could be applied in functional near-infrared spectroscopy feature extraction and signal analysis.""",2016 8th IEEE International Conference on Communication Software and Networks (ICCSN)
"""Remote Sensing Image Fusion Based on Adaptively Weighted Joint Detail Injection""",Y. Yang; L. Wu; S. Huang; W. Wan; Y. Que;,2018,10.1109/ACCESS.2018.2791574,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8253445,Remote sensing image fusion;detail injection scheme;multiscale decomposition;sparse representation;,"""Remote sensing image fusion based on the detail injection scheme consists of two steps: spatial details extraction and injection. The quality of the extracted spatial details plays an important role in the success of a detail injection scheme. In this paper, a remote sensing image fusion method based on adaptively weighted joint detail injection is presented. In the proposed method, the spatial details are first extracted from the multispectral (MS) and panchromatic (PAN) images through à trous wavelet transform and multiscale guided filter. Different from the traditional detail injection scheme, the extracted details are then sparsely represented to produce the primary joint details by dictionary learning from the subimages themselves. To obtain the refined joint details information, we subsequently design an adaptive weight factor considering the correlation and difference between the previous joint details and PAN image details. Finally, the refined joint details are injected into the MS image using modulation coefficient to achieve the fused image. The proposed method has been tested on QuickBird, IKONOS, and WorldView-2 datasets and compared to several state-of-the-art fusion methods in both subjective and objective evaluations. The experimental results indicate that the proposed method is effective and robust to images from various satellites sensors.""",IEEE Access
"""Instrument Learning and Sparse NMD for Automatic Polyphonic Music Transcription""",A. Rizzi; M. Antonelli; M. Luzi;,2017,10.1109/TMM.2017.2674603,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7862877,Automatic music transcription (AMT);non-negative matrix decomposition (NMD);non-monotone optimization;spectrogram factorization;sparse coding;,"""In this paper, an automatic music transcription (AMT) algorithm based on a supervised non-negative matrix decomposition (NMD) is discussed. In particular, a novel approach for enhancing the sparsity of the solution is proposed. It consists of a two-step processing in which the NMD is solved joining a ℓ2 regularization and a threshold filtering. In the first step, the NMD is performed with the ℓ2 regularization in order to get an overall selection of the notes most likely appearing in the monotimbral musical excerpt. In the second step, a threshold filtering followed by another ℓ2 regularized NMD are repeatedly performed in order to progressively reduce the dictionary matrix and to refine the notes transcription. Furthermore, a user-oriented instrument learning procedure has been conceived and proposed. The proposed AMT system has been tested upon the dataset collected by the LabROSA laboratories considering the transcription of three different pianos. Moreover, it has been validated through a comparison with a regularized NMD and with three open source AMT software. The results prove the effectiveness of the proposed two-step processing in enhancing the sparsity of the solution and in improving the transcription accuracy. Moreover, the proposed system shows promising performance in both multi-F0 and note tracking tasks, obtaining better transcription accuracy than the competing algorithms in most tests.""",IEEE Transactions on Multimedia
"""Generalized Joint Sparse Representation for Multimodal Biometric Fusion of Heterogeneous Features""",R. Primorac; R. Togneri; M. Bennamoun; F. Sohel;,2018,10.1109/WIFS.2018.8630775,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8630775,;,"""In this paper we introduce a novel multimodal biometric recognition system based on generalized sparse representations. In the recently proposed systems, with heterogeneous features (such as audio and video), the joint sparse optimization problem was addressed by bringing the features into the same dynamic range, such as normalizing the features into unitl2 norm. This is however not optimal, and such normalization may decrease the performance of that modality unimodally. We propose to solve the original joint sparse optimization problem by introducing scaling factors for different modalities, such that the modalities interact efficiently at the feature level. The sequence-dependent scaling factors are automatically calculated so that the mismatch between the sparse representations of different modalities is accounted for. In the case of audiovisual recognition system, our experiments on the challenging MOBIO database show that the proposed method outperforms the original joint sparsity-based system (96.8% vs 94.3% recognition rate).""",2018 IEEE International Workshop on Information Forensics and Security (WIFS)
"""Finger Vein Recognition via Sparse Reconstruction Error Constrained Low-Rank Representation""",L. Yang; G. Yang; K. Wang; F. Hao; Y. Yin;,2021,10.1109/TIFS.2021.3118894,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9564038,Finger vein recognition;low rank representation;sparse representation;vein backbone decomposition;reconstruction error;,"""Vein pattern-based methods have powerfully promoted the performance of finger vein recognition. However, it is not easy to precisely extract vein patterns from images, especially from low-quality images, and the non-vein area have been proved to be helpful for recognition. This paper proposes to use low-rank representation to extract as much noiseless discriminative information as possible from finger vein images. However, image deformation and image quality variations weaken the correlation of genuine images, and therefore damage the low-rank linear representation. To further deal with this problem, the class labels of training images and the local geometric structure between testing images and training images, reflected by sparse reconstruction errors of testing images, are used as constraints of low-rank coefficients. In particular, vein backbone decomposition based sparse representation is proposed to fast compute the deformation-robust reconstruction errors of each testing image. The reconstruction error on sub-backbones of one training image are used and modified as the constraint of the low-rank coefficient on this training image. We evaluate the proposed method on three widely used finger vein databases, and experimental results show that the proposed method performs well in finger vein recognition.""",IEEE Transactions on Information Forensics and Security
"""A unique non-intrusive approach to non-ATE Based cul-de-sac SoC debug""",V. Easwaran; V. Bansal; G. Shurtz; R. Gulati; M. Mody; P. Karandikar; P. Shankar;,2014,10.1109/SOCC.2014.6948950,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6948950,Hardware observability;ATE;SoC;IP;non-intrusive debug;dead silicon;MUX;bootstrap;,"""Rapid increasing complexity of chips due to integration of multiple processing elements along with a rich set of peripherals for connectivity needs, poses new set of debug challenges on silicon. The spectrum of issues ranges from minor functional bugs, random timing related bugs to dead on-arrival (DoA) chip. The prior methods of doing silicon test were using ATE (Automatic Test Equipment's) and using trace data under software control, bringing its own set of limitations. This paper proposes a new method to overcome the above limitations by introducing internal state observations at the boundary of chip that can be viewed by probing these pins. The proposed method consists of routing hardware observability signal from every individual IP to pins, which are controlled by means of boot-pins on the chip. The solution accomplishes the same with no additional overhead in terms of pin count and helps to debug DoA silicon. This method is implemented in a multicore SoC (System-on-chip) catering to the automotive market. The actual result from SoC usage has shown to save up to 83% effort in debugging actual issues on silicon by adding about 0.2% more cost in terms of silicon area.""",2014 27th IEEE International System-on-Chip Conference (SOCC)
"""A Comparison Between Three Sparse Unmixing Algorithms Using a Large Library of Shortwave Infrared Mineral Spectra""",M. Berman; L. Bischof; R. Lagerstrom; Y. Guo; J. Huntington; P. Mason; A. A. Green;,2017,10.1109/TGRS.2017.2676816,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7886343,Canonical variates (CVs);cubic spline;linear unmixing;shortwave infrared (SWIR) spectra;sparse unmixing;spectral library;,"""The comparison described in this paper has been motivated by two things: 1) a “spectral library” of shortwave infrared reflectance spectra that we have built, consisting of the spectra of 60 nominally pure materials (mostly minerals, but also water, dry vegetation, and several man-made materials) and 2) the needs of users in the mining industry for the use of fast and accurate unmixing software to analyze tens to hundreds of thousands of spectra measured from drill core or chips using HyLogging instruments, and other commercial reflectance spectrometers. Individual samples are typically a mixture of only one, two, three, or occasionally four minerals. Therefore, in order to avoid overfitting, a sparse unmixing algorithm is required. We compare three such algorithms using some real world test data sets: full subset selection (FSS), sparse demixing (SD), and L1 regularization. To aid the comparison, we introduce two novel aspects: 1) the simultaneous fitting of the low frequency background with mineral identification (which provides greater model flexibility) and 2) the combined fitting being carried out using a suitably defined Mahalanobis distance; this has certain optimality properties under an idealized model. Together, these two innovations significantly improve the accuracy of the results. FSS and L1 regularization (suitably optimized) produce similar levels of accuracy, and are superior to SD. Discussion includes possible improvements to the algorithms, and their possible use in other domains.""",IEEE Transactions on Geoscience and Remote Sensing
"""Sparse Support Vector Machine for pattern recognition""",G. Chen; T. D. Bui; A. Krzyżak;,2013,10.1109/HPCSim.2013.6641476,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6641476,Support vector machines (SVM);pattern recognition;image processing;machine learning;,"""Support Vector Machine (SVM) is one of the most famous classification techniques in the pattern recognition community. However, due to outliers in the training samples, the SVM tend to be over-trained. This means that the generalization ability of the SVM will decrease for further training. In this paper, we borrow the idea of compressive sensing/sparse representation and apply it to the SVM. Our method can achieve higher classification rates than the standard SVM due to the sparser support vectors. Experimental results conducted in this paper show that our proposed technique is feasible in practical pattern recognition applications.""",2013 International Conference on High Performance Computing & Simulation (HPCS)
