Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Why Software Testing Fails: Common Pitfalls Observed in a Critical Smart Metering Project","Software Quality: The Complexity and Challenges of Software Engineering and Software Quality in the Cloud","","","","10.1007/978-3-030-05767-1_6","Stefan MohacsiRudolf Ramler","2019","http://link.springer.com/chapter/10.1007/978-3-030-05767-1_6","Chapter"
"Assessment of Software Testing and Quality Assurance in Natural Language Processing Applications and a Linguistically Inspired Approach to Improving It","Trustworthy Eternal Systems via Evolving Software, Data and Knowledge","","","","10.1007/978-3-642-45260-4_6","K. Bretonnel CohenLawrence E. HunterMartha Palmer","2013","http://link.springer.com/chapter/10.1007/978-3-642-45260-4_6","Chapter"
"Managing Execution Environment Variability during Software Testing: An Industrial Experience","Testing Software and Systems","","","","10.1007/978-3-642-34691-0_4","Aymeric HervieuBenoit BaudryArnaud Gotlieb","2012","http://link.springer.com/chapter/10.1007/978-3-642-34691-0_4","Chapter"
"Applying Surveys and Interviews in Software Test Tool Evaluation","Product-Focused Software Process Improvement","","","","10.1007/978-3-030-35333-9_2","Päivi Raulamo-JurvanenSimo HosioMika V. Mäntylä","2019","http://link.springer.com/chapter/10.1007/978-3-030-35333-9_2","Chapter"
"Software Test Capability Improvement Method","Computer Applications for Software Engineering, Disaster Recovery, and Business Continuity","","","","10.1007/978-3-642-35267-6_32","Jihyun LeeSunmyung Hwang","2012","http://link.springer.com/chapter/10.1007/978-3-642-35267-6_32","Chapter"
"A Survey on Testing Distributed and Heterogeneous Systems: The State of the Practice","Software Technologies","","","","10.1007/978-3-319-62569-0_5","Bruno LimaJoão Pascoal Faria","2017","http://link.springer.com/chapter/10.1007/978-3-319-62569-0_5","Chapter"
"Mobile Application Verification: A Systematic Mapping Study","Computational Science and Its Applications -- ICCSA 2015","","","","10.1007/978-3-319-21413-9_11","Mehmet SahinogluKoray InckiMehmet S. Aktas","2015","http://link.springer.com/chapter/10.1007/978-3-319-21413-9_11","Chapter"
"Learning-Based Test Programming for Programmers","Leveraging Applications of Formal Methods, Verification and Validation. Technologies for Mastering Change","","","","10.1007/978-3-642-34026-0_42","Alex GroceAlan FernMartin ErwigJervis PintoTim BauerAmin Alipour","2012","http://link.springer.com/chapter/10.1007/978-3-642-34026-0_42","Chapter"
"On the Effectiveness of Whole Test Suite Generation","Search-Based Software Engineering","","","","10.1007/978-3-319-09940-8_1","Andrea ArcuriGordon Fraser","2014","http://link.springer.com/chapter/10.1007/978-3-319-09940-8_1","Chapter"
"What Characterizes a Good Software Tester? – A Survey in Four Norwegian Companies","Testing Software and Systems","","","","10.1007/978-3-662-44857-1_11","Anca Deak","2014","http://link.springer.com/chapter/10.1007/978-3-662-44857-1_11","Chapter"
"Specialization and Instantiation Aspects of a Standard Process for Developing Educational Modules","Leveraging Applications of Formal Methods, Verification and Validation","","","","10.1007/978-3-540-88479-8_36","Ellen Francine BarbosaJosé Carlos Maldonado","2008","http://link.springer.com/chapter/10.1007/978-3-540-88479-8_36","Chapter"
"A Software Test Cases Automated Generation Algorithm Based on Immune Principles","Autonomic and Trusted Computing","","","","10.1007/978-3-642-02704-8_6","Junmin YeZemei ZhanCong JinQingguo Zhang","2009","http://link.springer.com/chapter/10.1007/978-3-642-02704-8_6","Chapter"
"The Assessment of Software Reliability for Systems with High Reliability Requirements","Software System Design Methods","","","","10.1007/978-3-642-82846-1_14","Chris Dale","1986","http://link.springer.com/chapter/10.1007/978-3-642-82846-1_14","Chapter"
"A Prioritization Approach for Software Test Cases Based on Bayesian Networks","Fundamental Approaches to Software Engineering","","","","10.1007/978-3-540-71289-3_22","Siavash MirarabLadan Tahvildari","2007","http://link.springer.com/chapter/10.1007/978-3-540-71289-3_22","Chapter"
"Ten Years of Search Based Software Engineering: A Bibliometric Analysis","Search Based Software Engineering","","","","10.1007/978-3-642-23716-4_5","Fabrício Gomes de FreitasJerffeson Teixeira de Souza","2011","http://link.springer.com/chapter/10.1007/978-3-642-23716-4_5","Chapter"
"Applying Evolutionary Approaches to Data Flow Testing at Unit Level","Software Engineering, Business Continuity, and Education","","","","10.1007/978-3-642-27207-3_6","Shaukat Ali KhanAamer Nadeem","2011","http://link.springer.com/chapter/10.1007/978-3-642-27207-3_6","Chapter"
"Rationalizing the Need of Architecture-Driven Testing of Interactive Systems","Human-Centered Software Engineering","","","","10.1007/978-3-030-05909-5_10","Alexandre CannyElodie BouzekriCélia MartiniePhilippe Palanque","2019","http://link.springer.com/chapter/10.1007/978-3-030-05909-5_10","Chapter"
"Evolving a Test Oracle in Black-Box Testing","Fundamental Approaches to Software Engineering","","","","10.1007/978-3-642-19811-3_22","Farn WangJung-Hsuan WuChung-Hao HuangKai-Hsiang Chang","2011","http://link.springer.com/chapter/10.1007/978-3-642-19811-3_22","Chapter"
"Deploying Search Based Software Engineering with Sapienz at Facebook","Search-Based Software Engineering","","","","10.1007/978-3-319-99241-9_1","Nadia AlshahwanXinbo GaoMark HarmanYue JiaKe MaoAlexander MolsTaijin TeiIlya Zorin","2018","http://link.springer.com/chapter/10.1007/978-3-319-99241-9_1","Chapter"
"Bio-Inspired Optimization of Test Data Generation for Concurrent Software","Search-Based Software Engineering","","","","10.1007/978-3-030-27455-9_9","Ricardo F. VilelaVictor H. S. C. PintoThelma E. ColanziSimone R. S. Souza","2019","http://link.springer.com/chapter/10.1007/978-3-030-27455-9_9","Chapter"
"Four Applications of a Software Data Collection and Analysis Methodology","Software System Design Methods","","","","10.1007/978-3-642-82846-1_1","Victor R. BasiliRichard W. Selby Jr.","1986","http://link.springer.com/chapter/10.1007/978-3-642-82846-1_1","Chapter"
"On Building Testable Software Components","COTS-Based Software Systems","","","","10.1007/3-540-45588-4_11","Jerry Gao Ph.D.Kamal GuptaShalini GuptaSimon Shim Ph.D.","2002","http://link.springer.com/chapter/10.1007/3-540-45588-4_11","Chapter"
"Black-Box System Testing of Real-Time Embedded Systems Using Random and Search-Based Testing","Testing Software and Systems","","","","10.1007/978-3-642-16573-3_8","Andrea ArcuriMuhammad Zohaib IqbalLionel Briand","2010","http://link.springer.com/chapter/10.1007/978-3-642-16573-3_8","Chapter"
"HTAF: Hybrid Testing Automation Framework to Leverage Local and Global Computing Resources","Computational Science and Its Applications - ICCSA 2011","","","","10.1007/978-3-642-21931-3_37","Keun Soo YimDavid HreczanyRavishankar K. Iyer","2011","http://link.springer.com/chapter/10.1007/978-3-642-21931-3_37","Chapter"
"Software Quality Testing Model for Mobile Application","Mobile Web Information Systems","","","","10.1007/978-3-319-10359-4_16","Zhenyu LiuYun HuLizhi Cai","2014","http://link.springer.com/chapter/10.1007/978-3-319-10359-4_16","Chapter"
"An Experimental Comparison of the Effectiveness of Control Flow Based Testing Approaches on Seeded Faults","Tools and Algorithms for the Construction and Analysis of Systems","","","","10.1007/11691372_24","Atul GuptaPankaj Jalote","2006","http://link.springer.com/chapter/10.1007/11691372_24","Chapter"
"Generating Tests by Example","Verification, Model Checking, and Abstract Interpretation","","","","10.1007/978-3-319-73721-8_19","Hila PelegDan RasinEran Yahav","2018","http://link.springer.com/chapter/10.1007/978-3-319-73721-8_19","Chapter"
"Effective Black-Box Testing with Genetic Algorithms","Hardware and Software, Verification and Testing","","","","10.1007/11678779_10","Mark LastShay EyalAbraham Kandel","2006","http://link.springer.com/chapter/10.1007/11678779_10","Chapter"
"A Survey on Testing for Cyber Physical System","Testing Software and Systems","","","","10.1007/978-3-319-25945-1_12","Sara Abbaspour AsadollahRafia InamHans Hansson","2015","http://link.springer.com/chapter/10.1007/978-3-319-25945-1_12","Chapter"
"Influence of Human Factors in Software Quality and Productivity","Computational Science and Its Applications - ICCSA 2011","","","","10.1007/978-3-642-21934-4_22","Luis Fernández-SanzSanjay Misra","2011","http://link.springer.com/chapter/10.1007/978-3-642-21934-4_22","Chapter"
"Why the Virtual Nature of Software Makes It Ideal for Search Based Optimization","Fundamental Approaches to Software Engineering","","","","10.1007/978-3-642-12029-9_1","Mark Harman","2010","http://link.springer.com/chapter/10.1007/978-3-642-12029-9_1","Chapter"
"Choices, Choices: Comparing between CHOC’LATE and the Classification-Tree Methodology","Reliable Software Technologies – Ada-Europe 2012","","","","10.1007/978-3-642-30598-6_12","Pak-Lok PoonTsong Yueh ChenT. H. Tse","2012","http://link.springer.com/chapter/10.1007/978-3-642-30598-6_12","Chapter"
"Test Case Generation Based on Program Invariant and Adaptive Random Algorithm","Advances in Information Technology and Education","","","","10.1007/978-3-642-22418-8_38","Yuan YuanZeng FanpingZhu GuanmiaoDeng ChaoqiangXiong Neng","2011","http://link.springer.com/chapter/10.1007/978-3-642-22418-8_38","Chapter"
"Towards Automated Boundary Value Testing with Program Derivatives and Search","Search-Based Software Engineering","","","","10.1007/978-3-030-27455-9_11","Robert FeldtFelix Dobslaw","2019","http://link.springer.com/chapter/10.1007/978-3-030-27455-9_11","Chapter"
"Automatic Test Data Generation Using a Genetic Algorithm","Computational Science and Its Applications – ICCSA 2013","","","","10.1007/978-3-642-39643-4_41","Nassima AlebSamir Kechid","2013","http://link.springer.com/chapter/10.1007/978-3-642-39643-4_41","Chapter"
"Error Propagation Monitoring on Windows Mobile-Based Devices","Dependable Computing","","","","10.1007/978-3-540-75294-3_9","José Carlos Bregieiro RibeiroBruno Miguel LuísMário Zenha-Rela","2007","http://link.springer.com/chapter/10.1007/978-3-540-75294-3_9","Chapter"
"Pragmatic Approach to Test Case Reuse - A Case Study in Android OS BiDiTests Library","Software Reuse for Dynamic Systems in the Cloud and Beyond","","","","10.1007/978-3-319-14130-5_9","Suriya Priya R. AsaithambiStan Jarzabek","2014","http://link.springer.com/chapter/10.1007/978-3-319-14130-5_9","Chapter"
"Using Model Checking to Generate Tests from Requirements Specifications","Software Engineering — ESEC/FSE ’99","","","","10.1007/3-540-48166-4_10","Angelo GargantiniConstance Heitmeyer","1999","http://link.springer.com/chapter/10.1007/3-540-48166-4_10","Chapter"
"Do Judge a Test by its Cover","Programming Languages and Systems","","","","10.1007/978-3-030-72019-3_10","Harrison GoldsteinJohn HughesLeonidas LampropoulosBenjamin C. Pierce","2021","http://link.springer.com/chapter/10.1007/978-3-030-72019-3_10","Chapter"
"A Multi-objective Genetic Algorithm to Rank State-Based Test Cases","Search Based Software Engineering","","","","10.1007/978-3-642-39742-4_7","Lionel BriandYvan LabicheKathy Chen","2013","http://link.springer.com/chapter/10.1007/978-3-642-39742-4_7","Chapter"
"Diversity in Search-Based Unit Test Suite Generation","Search Based Software Engineering","","","","10.1007/978-3-319-66299-2_17","Nasser M. Albunian","2017","http://link.springer.com/chapter/10.1007/978-3-319-66299-2_17","Chapter"
"A Process for Risk-Based Test Strategy Development and Its Industrial Evaluation","Product-Focused Software Process Improvement","","","","10.1007/978-3-319-26844-6_26","Rudolf RamlerMichael Felderer","2015","http://link.springer.com/chapter/10.1007/978-3-319-26844-6_26","Chapter"
"Data Science Challenges to Improve Quality Assurance of Internet of Things Applications","Leveraging Applications of Formal Methods, Verification and Validation: Discussion, Dissemination, Applications","","","","10.1007/978-3-319-47169-3_54","Harald FoidlMichael Felderer","2016","http://link.springer.com/chapter/10.1007/978-3-319-47169-3_54","Chapter"
"Knowledge Capture and Reuse Through Expert’s Activity Monitoring in Engineering Design","Product Lifecycle Management to Support Industry 4.0","","","","10.1007/978-3-030-01614-2_57","Harvey RowsonMatthieu BricogneLionel RoucoulesAlexandre DuruptBenoit Eynard","2018","http://link.springer.com/chapter/10.1007/978-3-030-01614-2_57","Chapter"
"Images of Enterprise Test Organizations: Factory, Center of Excellence, or Community?","Software Quality. Complexity and Challenges of Software Engineering in Emerging Technologies","","","","10.1007/978-3-319-49421-0_8","Michal Doležel","2017","http://link.springer.com/chapter/10.1007/978-3-319-49421-0_8","Chapter"
"Testing of Safety-Critical Systems – a Structural Approach to Test Case Design","Advances in Systems Safety","","","","10.1007/978-0-85729-133-2_12","Armin BeerBernhard Peischl","2011","http://link.springer.com/chapter/10.1007/978-0-85729-133-2_12","Chapter"
"Open Questions in Testing of Learned Computer Vision Functions for Automated Driving","Computer Safety, Reliability, and Security","","","","10.1007/978-3-030-26250-1_27","Matthias WoehrleChristoph GladischChristian Heinzemann","2019","http://link.springer.com/chapter/10.1007/978-3-030-26250-1_27","Chapter"
"Combining Specification-Based and Code-Based Coverage for Model Transformation Chains","Theory and Practice of Model Transformations","","","","10.1007/978-3-642-21732-6_6","Eduard BauerJochen M. Küster","2011","http://link.springer.com/chapter/10.1007/978-3-642-21732-6_6","Chapter"
"Towards the Testing of Power-Aware Software Applications for Wireless Sensor Networks","Reliable Software Technologies – Ada Europe 2007","","","","10.1007/978-3-540-73230-3_7","W. K. ChanTsong Y. ChenS. C. CheungT. H. TseZhenyu Zhang","2007","http://link.springer.com/chapter/10.1007/978-3-540-73230-3_7","Chapter"
"Integrating research, reuse, and integration into software engineering courses","Software Engineering Education","","","","10.1007/3-540-55963-9_41","A. Jefferson OffuttRoland H. Untch","1992","http://link.springer.com/chapter/10.1007/3-540-55963-9_41","Chapter"
"Increasing Functional Coverage by Inductive Testing: A Case Study","Testing Software and Systems","","","","10.1007/978-3-642-16573-3_10","Neil WalkinshawKirill BogdanovJohn DerrickJavier Paris","2010","http://link.springer.com/chapter/10.1007/978-3-642-16573-3_10","Chapter"
"Divide-by-Zero Exception Raising via Branch Coverage","Search Based Software Engineering","","","","10.1007/978-3-642-23716-4_19","Neelesh BhattacharyaAbdelilah SaktiGiuliano AntoniolYann-Gaël GuéhéneucGilles Pesant","2011","http://link.springer.com/chapter/10.1007/978-3-642-23716-4_19","Chapter"
"On the Role of Software Quality Management in Software Process Improvement","Product-Focused Software Process Improvement","","","","10.1007/978-3-319-49094-6_21","Jan Wiedemann JacobsenMarco KuhrmannJürgen MünchPhilipp DieboldMichael Felderer","2016","http://link.springer.com/chapter/10.1007/978-3-319-49094-6_21","Chapter"
"Designing for Safety: Current Activities at the University of Bristol and Future Directions","Safer Systems","","","","10.1007/978-1-4471-0975-4_2","G. HughesJ. H. R. MayJ. Noyes","1997","http://link.springer.com/chapter/10.1007/978-1-4471-0975-4_2","Chapter"
"A Summary of the Tutorials at ICTAC 2004","Theoretical Aspects of Computing - ICTAC 2004","","","","10.1007/978-3-540-31862-0_39","Zhiming Liu","2005","http://link.springer.com/chapter/10.1007/978-3-540-31862-0_39","Chapter"
"Software Verification: Testing vs. Model Checking","Hardware and Software: Verification and Testing","","","","10.1007/978-3-319-70389-3_7","Dirk BeyerThomas Lemberger","2017","http://link.springer.com/chapter/10.1007/978-3-319-70389-3_7","Chapter"
"PathWalker: A Dynamic Symbolic Execution Tool Based on LLVM Byte Code Instrumentation","Dependable Software Engineering: Theories, Tools, and Applications","","","","10.1007/978-3-319-25942-0_15","Zhang Jun-xianLi Zhou-junZheng Xian-chen","2015","http://link.springer.com/chapter/10.1007/978-3-319-25942-0_15","Chapter"
"Bytecode Testability Transformation","Search Based Software Engineering","","","","10.1007/978-3-642-23716-4_21","Yanchuan LiGordon Fraser","2011","http://link.springer.com/chapter/10.1007/978-3-642-23716-4_21","Chapter"
"Report: Functional Security Testing Closing the Software – Security Testing Gap: A Case from a Telecom Provider","Engineering Secure Software and Systems","","","","10.1007/978-3-642-00199-4_16","Albin ZuccatoClemens Kögler","2009","http://link.springer.com/chapter/10.1007/978-3-642-00199-4_16","Chapter"
"Improving Robustness Testing of COTS OS Extensions","Service Availability","","","","10.1007/11955498_9","Constantin SârbuAndréas JohanssonFalk FraikinNeeraj Suri","2006","http://link.springer.com/chapter/10.1007/11955498_9","Chapter"
"Boosting Search Based Testing by Using Constraint Based Testing","Search Based Software Engineering","","","","10.1007/978-3-642-33119-0_16","Abdelilah SaktiYann-Gaël GuéhéneucGilles Pesant","2012","http://link.springer.com/chapter/10.1007/978-3-642-33119-0_16","Chapter"
"Cloud-Based Verification of Concurrent Software","Verification, Model Checking, and Abstract Interpretation","","","","10.1007/978-3-662-49122-5_15","Gerard J. Holzmann","2016","http://link.springer.com/chapter/10.1007/978-3-662-49122-5_15","Chapter"
"Test Case Prioritization Using Test Similarities","Product-Focused Software Process Improvement","","","","10.1007/978-3-030-03673-7_18","Alireza HaghighatkhahMika MäntyläMarkku OivoPasi Kuvaja","2018","http://link.springer.com/chapter/10.1007/978-3-030-03673-7_18","Chapter"
"Search-Based Testing of Procedural Programs: Iterative Single-Target or Multi-target Approach?","Search Based Software Engineering","","","","10.1007/978-3-319-47106-8_5","Simone ScalabrinoGiovanni GranoDario Di NucciRocco OlivetoAndrea De Lucia","2016","http://link.springer.com/chapter/10.1007/978-3-319-47106-8_5","Chapter"
"An Automata-Theoretic Approach for Model-Checking Systems with Unspecified Components","Formal Approaches to Software Testing","","","","10.1007/978-3-540-31848-4_11","Gaoyan XieZhe Dang","2005","http://link.springer.com/chapter/10.1007/978-3-540-31848-4_11","Chapter"
"Testing Systems of Concurrent Black-Boxes—An Automata-Theoretic and Decompositional Approach","Formal Approaches to Software Testing","","","","10.1007/11759744_12","Gaoyan XieZhe Dang","2006","http://link.springer.com/chapter/10.1007/11759744_12","Chapter"
"Formal Methods and Testing: Hypotheses, and Correctness Approximations","FM 2005: Formal Methods","","","","10.1007/11526841_2","Marie-Claude Gaudel","2005","http://link.springer.com/chapter/10.1007/11526841_2","Chapter"
"Reducing the Cost of Model-Based Testing through Test Case Diversity","Testing Software and Systems","","","","10.1007/978-3-642-16573-3_6","Hadi HemmatiAndrea ArcuriLionel Briand","2010","http://link.springer.com/chapter/10.1007/978-3-642-16573-3_6","Chapter"
"Increasing Software Integrity Using Functionally Dissimilar Monitoring","Safer Systems","","","","10.1007/978-1-4471-0975-4_13","David M. Johnson","1997","http://link.springer.com/chapter/10.1007/978-1-4471-0975-4_13","Chapter"
"A Professional Career with Autism: Findings from a Literature Review in the Software Engineering Domain","Systems, Software and Services Process Improvement","","","","10.1007/978-3-030-85521-5_23","Emma CostelloSara KilbrideZoe MilnePaul ClarkeMurat YilmazSilvana Togneri MacMahon","2021","http://link.springer.com/chapter/10.1007/978-3-030-85521-5_23","Chapter"
"Deploying a Gamification Framework for Software Process Improvement: Preliminary Results","Systems, Software and Services Process Improvement","","","","10.1007/978-3-319-64218-5_18","Eduardo HerranzRicardo Colomo-PalaciosAbdullah Al-Barakati","2017","http://link.springer.com/chapter/10.1007/978-3-319-64218-5_18","Chapter"
"Component Testing Is Not Enough - A Study of Software Faults in Telecom Middleware","Testing of Software and Communicating Systems","","","","10.1007/978-3-540-73066-8_6","Sigrid EldhSasikumar PunnekkatHans HanssonPeter Jönsson","2007","http://link.springer.com/chapter/10.1007/978-3-540-73066-8_6","Chapter"
"A Multi-objective Genetic Algorithm for Generating Test Suites from Extended Finite State Machines","Search Based Software Engineering","","","","10.1007/978-3-642-39742-4_26","Nesa AsoudehYvan Labiche","2013","http://link.springer.com/chapter/10.1007/978-3-642-39742-4_26","Chapter"
"SEON: A Software Engineering Ontology Network","Knowledge Engineering and Knowledge Management","","","","10.1007/978-3-319-49004-5_34","Fabiano Borges RuyRicardo de Almeida FalboMonalessa Perini BarcellosSimone Dornelas CostaGiancarlo Guizzardi","2016","http://link.springer.com/chapter/10.1007/978-3-319-49004-5_34","Chapter"
"Generating Test Cases for Constraint Automata by Genetic Symbiosis Algorithm","Formal Methods and Software Engineering","","","","10.1007/11901433_26","Samira TasharofiSepand AnsariMarjan Sirjani","2006","http://link.springer.com/chapter/10.1007/11901433_26","Chapter"
"The Challenge of Technology Transfer","Issues in Software Engineering Education","","","","10.1007/978-1-4613-9614-7_35","John E. GibsonVicki K. Heilig","1989","http://link.springer.com/chapter/10.1007/978-1-4613-9614-7_35","Chapter"
"Testing Programs to Detect Malicious Faults","Dependable Computing for Critical Applications 2","","","","10.1007/978-3-7091-9198-9_18","Richard Hamlet","1992","http://link.springer.com/chapter/10.1007/978-3-7091-9198-9_18","Chapter"
"Testing an Intentional Naming Scheme Using Genetic Algorithms","Tools and Algorithms for the Construction and Analysis of Systems","","","","10.1007/3-540-45319-9_25","Sarfraz Khurshid","2001","http://link.springer.com/chapter/10.1007/3-540-45319-9_25","Chapter"
"Quality-Adaptive Testing: A Strategy for Testing with Focusing on Where Bugs Have Been Detected","Software Quality — ECSQ 2002","","","","10.1007/3-540-47984-8_36","Yasuharu Nishi","2002","http://link.springer.com/chapter/10.1007/3-540-47984-8_36","Chapter"
"Multi-paradigmatic Model-Based Testing","Formal Approaches to Software Testing and Runtime Verification","","","","10.1007/11940197_1","Wolfgang Grieskamp","2006","http://link.springer.com/chapter/10.1007/11940197_1","Chapter"
"Defects, Scientific Computation and the Scientific Method","Uncertainty Quantification in Scientific Computing","","","","10.1007/978-3-642-32677-6_8","Les Hatton","2012","http://link.springer.com/chapter/10.1007/978-3-642-32677-6_8","Chapter"
"Model-Based Testing of Industrial Transformational Systems","Testing Software and Systems","","","","10.1007/978-3-642-24580-0_10","Petur OlsenJohan FoedererJan Tretmans","2011","http://link.springer.com/chapter/10.1007/978-3-642-24580-0_10","Chapter"
"Machine Learning Approach in Mutation Testing","Testing Software and Systems","","","","10.1007/978-3-642-34691-0_15","Joanna StrugBarbara Strug","2012","http://link.springer.com/chapter/10.1007/978-3-642-34691-0_15","Chapter"
"Testing from Formal Specifications, a Generic Approach","Reliable SoftwareTechnologies — Ada-Europe 2001","","","","10.1007/3-540-45136-6_3","Marie-Claude Gaudel","2001","http://link.springer.com/chapter/10.1007/3-540-45136-6_3","Chapter"
"Object-Oriented Testing Capabilities and Performance Evaluation of the C# Mutation System","Advances in Software Engineering Techniques","","","","10.1007/978-3-642-28038-2_18","Anna DerezińskaAnna Szustek","2012","http://link.springer.com/chapter/10.1007/978-3-642-28038-2_18","Chapter"
"Software Development Methods and Quality Assurance: Special Focus on South Korea","Systems, Software and Services Process Improvement","","","","10.1007/978-3-662-43896-1_14","Jesse Yli-HuumoOssi TaipaleKari Smolander","2014","http://link.springer.com/chapter/10.1007/978-3-662-43896-1_14","Chapter"
"EUnit: A Unit Testing Framework for Model Management Tasks","Model Driven Engineering Languages and Systems","","","","10.1007/978-3-642-24485-8_29","Antonio García-DomínguezDimitrios S. KolovosLouis M. RoseRichard F. PaigeInmaculada Medina-Bulo","2011","http://link.springer.com/chapter/10.1007/978-3-642-24485-8_29","Chapter"
"Techniques Based on Data Science for Software Processes: A Systematic Literature Review","Software Process Improvement and Capability Determination","","","","10.1007/978-3-030-00623-5_2","Alvaro Fernández Del CarpioLeonardo Bermón Angarita","2018","http://link.springer.com/chapter/10.1007/978-3-030-00623-5_2","Chapter"
"Model-Based Mutation Testing of an Industrial Measurement Device","Tests and Proofs","","","","10.1007/978-3-319-09099-3_1","Bernhard K. AichernigJakob AuerElisabeth JöbstlRobert KorošecWillibald KrennRupert SchlickBirgit Vera Schmidt","2014","http://link.springer.com/chapter/10.1007/978-3-319-09099-3_1","Chapter"
"Does FLOSS in Software Engineering Education Narrow the Theory-Practice Gap? A Study Grounded on Students’ Perception","Open Source Systems","","","","10.1007/978-3-030-20883-7_14","Debora Maria Coelho NascimentoChristina von Flach Garcia ChavezRoberto Almeida Bittencourt","2019","http://link.springer.com/chapter/10.1007/978-3-030-20883-7_14","Chapter"
"Pidgin Crasher: Searching for Minimised Crashing GUI Event Sequences","Search-Based Software Engineering","","","","10.1007/978-3-319-09940-8_21","Haitao DanMark HarmanJens KrinkeLingbo LiAlexandru MargineanFan Wu","2014","http://link.springer.com/chapter/10.1007/978-3-319-09940-8_21","Chapter"
"A five year perspective on software engineering graduate programs at George Mason University","Software Engineering Education","","","","10.1007/BFb0017635","Paul AmmannHassan GomaaJeff OffuttDavid RineBo Sanden","1994","http://link.springer.com/chapter/10.1007/BFb0017635","Chapter"
"Applying Industrial-Strength Testing Techniques to Critical Care Medical Equipment","Computer Safety, Reliability, and Security","","","","10.1007/978-3-642-33678-2_6","Christoph Woskowski","2012","http://link.springer.com/chapter/10.1007/978-3-642-33678-2_6","Chapter"
"Testing in Multi-Agent Systems","Agent-Oriented Software Engineering X","","","","10.1007/978-3-642-19208-1_13","Cu D. NguyenAnna PeriniCarole BernonJuan PavónJohn Thangarajah","2011","http://link.springer.com/chapter/10.1007/978-3-642-19208-1_13","Chapter"
