Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Novel distance measure for q-rung orthopair fuzzy sets with application to transportation problem","International Journal of Information Technology","","","","10.1007/s41870-024-01825-x","Palash DuttaBornali SaikiaAbhilash Kangsha Banik","2024","http://link.springer.com/article/10.1007/s41870-024-01825-x","Article"
"Improving fuzzy clustering algorithm for overlapping elements and its application","International Journal of Information Technology","","16","4","10.1007/s41870-024-01745-w","Bich PhamThiNga VoThiHangQuyen Tuong VuDinh PhamToan","2024","http://link.springer.com/article/10.1007/s41870-024-01745-w","Article"
"A low-rate encoder for image transmission using LoRa communication modules","International Journal of Information Technology","","15","2","10.1007/s41870-022-01077-7","Kevin GuerraJhon CasavilcaSamuel HuamánLidia LópezAlonso SanchezGuillermo Kemper","2023","http://link.springer.com/article/10.1007/s41870-022-01077-7","Article"
"Orthogonal affine precoding and decoding based channel estimation and data detection in frequency reversed Alamouti coded FBMC-OQAM system","International Journal of Information Technology","","16","3","10.1007/s41870-023-01551-w","Radhashyam PatraArunanshu MahapatroKwonhue Choi","2024","http://link.springer.com/article/10.1007/s41870-023-01551-w","Article"
"Using machine learning algorithms to examine the impact of technostress creators on student learning burnout and perceived academic performance","International Journal of Information Technology","","16","4","10.1007/s41870-023-01655-3","Noble Arden KuadeyCarlos AnkoraFati TahiruLily BensahCollinson Colin M. AgbesiStephen Oladagba Bolatimi","2024","http://link.springer.com/article/10.1007/s41870-023-01655-3","Article"
"A systematic study on blockchain technology in education: initiatives, products, applications, benefits, challenges and research direction","Computing","","106","2","10.1007/s00607-023-01228-z","Prity RaniRohit Kumar SachanSonal Kukreja","2024","http://link.springer.com/article/10.1007/s00607-023-01228-z","Article"
"State of the CArt: evaluating covering array generators at scale","International Journal on Software Tools for Technology Transfer","","26","3","10.1007/s10009-024-00745-2","Manuel LeithnerAndrea BombardaMichael WagnerAngelo GargantiniDimitris E. Simos","2024","http://link.springer.com/article/10.1007/s10009-024-00745-2","Article"
"Anime face recognition to create awareness","International Journal of Information Technology","","15","7","10.1007/s41870-023-01391-8","Pimpakarn A-masiriChutisant Kerdvibulvech","2023","http://link.springer.com/article/10.1007/s41870-023-01391-8","Article"
"Guest editorial for the special section on MODELS 2021","Software and Systems Modeling","","22","5","10.1007/s10270-023-01108-2","Shiva NejatiDániel Varró","2023","http://link.springer.com/article/10.1007/s10270-023-01108-2","Article"
"Customs valuation assessment using cluster-based approach","International Journal of Information Technology","","","","10.1007/s41870-024-01821-1","Omar AlqaryoutiNur SiyamKhaled ShaalanFuad Alhosban","2024","http://link.springer.com/article/10.1007/s41870-024-01821-1","Article"
"Comparison of (s, S) and (s, Q) type discrete time queueing inventory model and cost optimization using genetic algorithm with some fuzzy interpretation using PFNs","International Journal of Information Technology","","16","5","10.1007/s41870-024-01793-2","Mridula JainIndeewar Kumar","2024","http://link.springer.com/article/10.1007/s41870-024-01793-2","Article"
"What makes a good modeling research contribution?","Software and Systems Modeling","","","","10.1007/s10270-024-01177-x","Richard F. PaigeJordi Cabot","2024","http://link.springer.com/article/10.1007/s10270-024-01177-x","Article"
"Business process modeling language selection for research modelers","Software and Systems Modeling","","23","1","10.1007/s10270-023-01110-8","Siamak FarshidiIzaak Beer KwantesSlinger Jansen","2024","http://link.springer.com/article/10.1007/s10270-023-01110-8","Article"
"The role of informal communication in building shared understanding of non-functional requirements in remote continuous software engineering","Requirements Engineering","","28","4","10.1007/s00766-023-00404-z","Laura OkparaColin WernerAdam MurrayDaniela Damian","2023","http://link.springer.com/article/10.1007/s00766-023-00404-z","Article"
"A hybrid authenticated image encryption scheme using elliptic curves for enhanced security","International Journal of Information Technology","","","","10.1007/s41870-024-01737-w","Shalini GuptaNitishMansi HarishArun Kumar Sharma","2024","http://link.springer.com/article/10.1007/s41870-024-01737-w","Article"
"Sleep stage classification using fire hawk optimization based wavelet packet transform and Convolution Neural Network","International Journal of Information Technology","","16","4","10.1007/s41870-023-01491-5","Anjali W. PisePriti P. Rege","2024","http://link.springer.com/article/10.1007/s41870-023-01491-5","Article"
"Natural Image Matting with Attended Global Context","Journal of Computer Science and Technology","","38","3","10.1007/s11390-022-1690-z","Yi-Yi ZhangLi NiuYasushi MakiharaJian-Fu ZhangWei-Jie ZhaoYasushi YagiLi-Qing Zhang","2023","http://link.springer.com/article/10.1007/s11390-022-1690-z","Article"
"Identification of domain-specific euphemistic tweets using clustering","International Journal of Information Technology","","16","1","10.1007/s41870-023-01595-y","Maibam Debina DeviNavanath Saharia","2024","http://link.springer.com/article/10.1007/s41870-023-01595-y","Article"
"Systematic adaptation and investigation of the understandability of a formal pattern language","Requirements Engineering","","29","1","10.1007/s00766-024-00417-2","Elisabeth HenkelNico HauffVincent LangenfeldLukas EberAndreas Podelski","2024","http://link.springer.com/article/10.1007/s00766-024-00417-2","Article"
"An association rule mining-oriented approach for prioritizing functional requirements","Computing","","","","10.1007/s00607-024-01296-9","Habib Un NisaSaif Ur Rehman KhanShahid HussainWen-Li Wang","2024","http://link.springer.com/article/10.1007/s00607-024-01296-9","Article"
"Coordinating and programming multiple ROS-based robots with X-KLAIM","International Journal on Software Tools for Technology Transfer","","25","5 - 6","10.1007/s10009-023-00727-w","Lorenzo BettiniKhalid BourrRosario PuglieseFrancesco Tiezzi","2023","http://link.springer.com/article/10.1007/s10009-023-00727-w","Article"
"Text summarization using residual-based temporal attention convolutional neural network","International Journal of Information Technology","","","","10.1007/s41870-023-01581-4","Reshmi P. RajanDeepa V. Jose","2023","http://link.springer.com/article/10.1007/s41870-023-01581-4","Article"
"Hybrid ResNet152-EML model for Geo-spatial image classification","International Journal of Information Technology","","16","2","10.1007/s41870-023-01534-x","Rahul Krishnaji GhotekarMinakhi RoutKailash Shaw","2024","http://link.springer.com/article/10.1007/s41870-023-01534-x","Article"
"Real-time collaborative multi-level modeling by conflict-free replicated data types","Software and Systems Modeling","","22","4","10.1007/s10270-022-01054-5","Istvan DavidEugene Syriani","2023","http://link.springer.com/article/10.1007/s10270-022-01054-5","Article"
"Personality analysis for handwritten documents: a case study with Bangla characters","Innovations in Systems and Software Engineering","","","","10.1007/s11334-023-00538-x","Suparna Saha BiswasArpan RoyChayan HalderKaushik Roy","2023","http://link.springer.com/article/10.1007/s11334-023-00538-x","Article"
"A cross-linguistic entity alignment method based on graph convolutional neural network and graph attention network","Computing","","105","10","10.1007/s00607-023-01178-6","Zhen ZhaoShuo Lin","2023","http://link.springer.com/article/10.1007/s00607-023-01178-6","Article"
"Segmentation of MR Images using DN Convolutional Neural Network","International Journal of Information Technology","","15","8","10.1007/s41870-023-01461-x","Sujata Tukaram BhairnallykarVaibhav Narawade","2023","http://link.springer.com/article/10.1007/s41870-023-01461-x","Article"
"LP norm regularized deep CNN classifier based on biwolf optimization for mitosis detection in histopathology images","International Journal of Information Technology","","","","10.1007/s41870-024-01964-1","Jithy LijoSaleema Janardhanan Subramanian","2024","http://link.springer.com/article/10.1007/s41870-024-01964-1","Article"
"An ICT architecture for Smart Local Councils: a Mauritian case study","International Journal of Information Technology","","15","5","10.1007/s41870-023-01280-0","Baby Gobin-RahimbuxMaleika Heenaye-Mamode KhanZarine CadersaibSudha Cheerkoot-JalimNitish ChooramunNuzhah Gooda Sahib-KaudeerSomveer KishnahYashvinee Ahku","2023","http://link.springer.com/article/10.1007/s41870-023-01280-0","Article"
"Enhancing facial geometry analysis by DeepFaceLandmark leveraging ResNet101 and transfer learning","International Journal of Information Technology","","","","10.1007/s41870-024-01872-4","Nand Kishore SharmaSurendra RahamatkarAbhishek Singh Rathore","2024","http://link.springer.com/article/10.1007/s41870-024-01872-4","Article"
"A systematic literature review of pre-requirements specification traceability","Requirements Engineering","","29","2","10.1007/s00766-023-00412-z","Julia MuchaAndreas KaufmannDirk Riehle","2024","http://link.springer.com/article/10.1007/s00766-023-00412-z","Article"
"Combining the mRMR technique with the Northern Goshawk Algorithm (NGHA) to choose genes for cancer classification","International Journal of Information Technology","","","","10.1007/s41870-024-01849-3","Abrar Yaqoob","2024","http://link.springer.com/article/10.1007/s41870-024-01849-3","Article"
"A speaker identification-verification approach for noise-corrupted and improved speech using fusion features and a convolutional neural network","International Journal of Information Technology","","","","10.1007/s41870-024-01877-z","Rohun NisaAsifa Mehraj Baba","2024","http://link.springer.com/article/10.1007/s41870-024-01877-z","Article"
"Query intent recognition by integrating latent dirichlet allocation in conditional random field","International Journal of Information Technology","","15","1","10.1007/s41870-022-01108-3","Nahida ShafiManzoor Ahmed Chachoo","2023","http://link.springer.com/article/10.1007/s41870-022-01108-3","Article"
"A Tertiary Study on Microservices: Research Trends and Recommendations","Programming and Computer Software","","49","8","10.1134/S0361768823080200","Z. StojanovI. HristoskiJ. StojanovA. Stojkov","2023","http://link.springer.com/article/10.1134/S0361768823080200","Article"
"Utilizing multi-population ant colony system and exponential grey prediction model for multi-objective virtual machine consolidation in Cloud Data Centers","International Journal of Information Technology","","","","10.1007/s41870-024-01949-0","Nenyasha MadyavanhuVaneet Kumar","2024","http://link.springer.com/article/10.1007/s41870-024-01949-0","Article"
"Improving Performance of Virtual Machine Covert Timing Channel Through Optimized Run-Length Encoding","Journal of Computer Science and Technology","","38","4","10.1007/s11390-021-1189-z","Chong WangRong-Liang ChenLiang Gu","2023","http://link.springer.com/article/10.1007/s11390-021-1189-z","Article"
"A novel indoor localization system using machine learning based on bluetooth low energy with cloud computing","Computing","","105","3","10.1007/s00607-020-00897-4","Quanyi HuFeng WuRaymond K. WongRichard C. MillhamJinan Fiaidhi","2023","http://link.springer.com/article/10.1007/s00607-020-00897-4","Article"
"TwitterGAN: robust spam detection in twitter using novel generative adversarial networks","International Journal of Information Technology","","15","6","10.1007/s41870-023-01352-1","Mohammad Diqi","2023","http://link.springer.com/article/10.1007/s41870-023-01352-1","Article"
"Integration of machine learning bi-modal engagement emotion detection model to self-reporting for educational satisfaction measurement","International Journal of Information Technology","","","","10.1007/s41870-024-01996-7","Haifa F. AlhassonGhada M. AlsaheelAlhatoon A. AlsalamahNoura S. AlharbiJoud M. AlhujilanShuaa S. Alharbi","2024","http://link.springer.com/article/10.1007/s41870-024-01996-7","Article"
"Wolfram’s cellular automata model for unhealthy gas leakage detection","International Journal of Information Technology","","","","10.1007/s41870-024-01904-z","Sutapa SarkarMourjya ChatterjeeSwarnava SahaShuvendu Chakraborty","2024","http://link.springer.com/article/10.1007/s41870-024-01904-z","Article"
"Agile services and analysis framework for autonomous and autonomic critical infrastructure","Innovations in Systems and Software Engineering","","19","2","10.1007/s11334-021-00411-9","Joe MaurioPaul WoodSebastian ZanlongoJosh SilbermannTamim SookoorAlberto LorenzoRandy SleightJames RogersDan MullerNoah ArmigerChristopher RouffLanier Watkins","2023","http://link.springer.com/article/10.1007/s11334-021-00411-9","Article"
"First three years of the international verification of neural networks competition (VNN-COMP)","International Journal on Software Tools for Technology Transfer","","25","3","10.1007/s10009-023-00703-4","Christopher BrixMark Niklas MüllerStanley BakTaylor T. JohnsonChangliu Liu","2023","http://link.springer.com/article/10.1007/s10009-023-00703-4","Article"
"Machine learning-based IoT system for COVID-19 epidemics","Computing","","105","4","10.1007/s00607-022-01057-6","Micheal Olaolu ArowoloRoseline Oluwaseun OgundokunSanjay MisraBlessing Dorothy AgboolaBrij Gupta","2023","http://link.springer.com/article/10.1007/s00607-022-01057-6","Article"
"Virtual machine migration based algorithmic approach for safeguarding environmental sustainability by renewable energy usage maximization in Cloud data centres","International Journal of Information Technology","","","","10.1007/s41870-023-01478-2","Saumitra VatsalSatya Bhushan Verma","2023","http://link.springer.com/article/10.1007/s41870-023-01478-2","Article"
"A hybrid machine learning model for detecting cybersecurity threats in IoT applications","International Journal of Information Technology","","15","6","10.1007/s41870-023-01367-8","Midighe UsohPhilip AsuquoSimeon OzuombaBliss StephenUdoinyang Inyang","2023","http://link.springer.com/article/10.1007/s41870-023-01367-8","Article"
"Enhancing intrusion detection using coati optimization algorithm with deep learning on vehicular Adhoc networks","International Journal of Information Technology","","16","5","10.1007/s41870-024-01827-9","K. SarathkumarP. SudhakarA. Clara Kanmani","2024","http://link.springer.com/article/10.1007/s41870-024-01827-9","Article"
"A memetic approach for optimizing software effort estimation using anti-predatory NIA","International Journal of Information Technology","","16","2","10.1007/s41870-023-01652-6","Archana SharmaDharmveer Singh Rajpoot","2024","http://link.springer.com/article/10.1007/s41870-023-01652-6","Article"
"UNet with ResNextify and IB modules for low-dose CT image denoising","International Journal of Information Technology","","","","10.1007/s41870-024-01898-8","Swati ChauhanNidhi MalikRekha Vig","2024","http://link.springer.com/article/10.1007/s41870-024-01898-8","Article"
"An approach for performance requirements verification and test environments generation","Requirements Engineering","","28","1","10.1007/s00766-022-00379-3","Waleed AbdeenXingru ChenMichael Unterkalmsteiner","2023","http://link.springer.com/article/10.1007/s00766-022-00379-3","Article"
"Establishing interoperability between EMF and MSDKVS: an M3-level-bridge to transform metamodels and models","Software and Systems Modeling","","","","10.1007/s10270-024-01169-x","Florian CesalDominik Bork","2024","http://link.springer.com/article/10.1007/s10270-024-01169-x","Article"
"Classification of brain MR images based on bleed and calcification using ROI cropped U-Net segmentation and ensemble RNN classifier","International Journal of Information Technology","","15","6","10.1007/s41870-023-01389-2","Nita KakhandakiShrinivasrao B. Kulkarni","2023","http://link.springer.com/article/10.1007/s41870-023-01389-2","Article"
"CalcGraph: taming the high costs of deep learning using models","Software and Systems Modeling","","22","4","10.1007/s10270-022-01052-7","Joe LorentzThomas HartmannAssaad MoawadFrancois FouquetDjamila AouadaYves Le Traon","2023","http://link.springer.com/article/10.1007/s10270-022-01052-7","Article"
"Determination of Relevant Risk Factors for Breast Cancer Using Feature Selection","Programming and Computer Software","","49","8","10.1134/S0361768823080091","Zazil Ibarra-CuevasJose Nunez-VarelaAlberto Nunez-VarelaFrancisco E. Martinez-PerezSandra E. Nava-MuñozCesar A. Ramirez-GamezHector G. Perez-Gonzalez","2023","http://link.springer.com/article/10.1134/S0361768823080091","Article"
"On the assessment of generative AI in modeling tasks: an experience report with ChatGPT and UML","Software and Systems Modeling","","22","3","10.1007/s10270-023-01105-5","Javier CámaraJavier TroyaLola BurgueñoAntonio Vallecillo","2023","http://link.springer.com/article/10.1007/s10270-023-01105-5","Article"
"Sentiment classification in Hindi text using hybrid deep learning method","International Journal of Information Technology","","","","10.1007/s41870-024-01995-8","Ashish DhimanArun Kumar YadavMohit KumarDivakar YadavAkash Verma","2024","http://link.springer.com/article/10.1007/s41870-024-01995-8","Article"
"Link prediction in food heterogeneous graphs for personalised recipe recommendation based on user interactions and dietary restrictions","Computing","","106","7","10.1007/s00607-023-01233-2","Andrea Morales-GarzónKarel Gutiérrez-BatistaMaria J. Martin-Bautista","2024","http://link.springer.com/article/10.1007/s00607-023-01233-2","Article"
"Artificial intelligence to automate the systematic review of scientific literature","Computing","","105","10","10.1007/s00607-023-01181-x","José de la Torre-LópezAurora RamírezJosé Raúl Romero","2023","http://link.springer.com/article/10.1007/s00607-023-01181-x","Article"
"A high-throughput architecture for anomaly detection in streaming data using machine learning algorithms","International Journal of Information Technology","","16","1","10.1007/s41870-023-01585-0","Chellammal SurianarayananSaranya KunasekaranPethuru Raj Chelliah","2024","http://link.springer.com/article/10.1007/s41870-023-01585-0","Article"
"Generalizing truth discovery by incorporating multi-truth features","Computing","","106","5","10.1007/s00607-024-01288-9","Xiu Susie FangXianzhi WangQuan Z. ShengLina Yao","2024","http://link.springer.com/article/10.1007/s00607-024-01288-9","Article"
"Empirical evaluation of Pythagorean fuzzy entropy measures with application in decision making","International Journal of Information Technology","","16","3","10.1007/s41870-023-01441-1","Hari Darshan AroraAnjali Naithani","2024","http://link.springer.com/article/10.1007/s41870-023-01441-1","Article"
"Analyzing neural network behavior through deep statistical model checking","International Journal on Software Tools for Technology Transfer","","25","3","10.1007/s10009-022-00685-9","Timo P. GrosHolger HermannsJörg HoffmannMichaela KlauckMarcel Steinmetz","2023","http://link.springer.com/article/10.1007/s10009-022-00685-9","Article"
"Agile model-driven re-engineering","Innovations in Systems and Software Engineering","","","","10.1007/s11334-024-00568-z","Kevin LanoHoward HaughtonZiwen YuanHessa Alfraihi","2024","http://link.springer.com/article/10.1007/s11334-024-00568-z","Article"
"Towards High-Performance Graph Processing: From a Hardware/Software Co-Design Perspective","Journal of Computer Science and Technology","","39","2","10.1007/s11390-024-4150-0","Xiao-Fei Liao 廖小飞Wen-Ju Zhao 赵文举Hai Jin 金　海Peng-Cheng Yao 姚鹏程Yu Huang 黄　禹Qing-Gang Wang 王庆刚Jin Zhao 赵　进Long Zheng 郑　龙Yu Zhang 张　宇Zhi-Yuan Shao 邵志远","2024","http://link.springer.com/article/10.1007/s11390-024-4150-0","Article"
"Self-stabilizing c-wave algorithms for arbitrary networks","Computing","","105","1","10.1007/s00607-022-01110-4","Mehmet Hakan KaraataEbrahim AlrashedMohammad Allaho","2023","http://link.springer.com/article/10.1007/s00607-022-01110-4","Article"
"SHA: QoS-Aware Software and Hardware Auto-Tuning for Database Systems","Journal of Computer Science and Technology","","39","2","10.1007/s11390-022-1751-3","Jin Li 李 进Quan Chen 陈 全Xiao-Xin Tang 唐晓新Min-Yi Guo 过敏意","2024","http://link.springer.com/article/10.1007/s11390-022-1751-3","Article"
"Modelling flocks of birds and colonies of ants from the bottom up","International Journal on Software Tools for Technology Transfer","","25","5 - 6","10.1007/s10009-023-00731-0","Rocco De NicolaLuca Di StefanoOmar InversoSerenella Valiani","2023","http://link.springer.com/article/10.1007/s10009-023-00731-0","Article"
"Analyzing the impact of human errors on interactive service robotic scenarios via formal verification","Software and Systems Modeling","","23","2","10.1007/s10270-023-01125-1","Livia LestingiAndrea ManglavitiDavide MarinaroLuca MarinelloMehrnoosh AskarpourMarcello M. BersaniMatteo Rossi","2024","http://link.springer.com/article/10.1007/s10270-023-01125-1","Article"
"Transfer learning based SSD model for helmet and multiple rider detection","International Journal of Information Technology","","15","2","10.1007/s41870-022-01058-w","C. NandhiniM. Brindha","2023","http://link.springer.com/article/10.1007/s41870-022-01058-w","Article"
"OntoBlock: a novel ontological-based and blockchain enabled spectrum sensing framework for detection of malicious users in cognitive radio internet of things (CR-IoT) networks","International Journal of Information Technology","","","","10.1007/s41870-024-02011-9","Nikhil Kumar MarriwalaVinod Kumar ShuklaAyalapogu Ratna RajuSunita PandaSuma SHemavati C. Purad","2024","http://link.springer.com/article/10.1007/s41870-024-02011-9","Article"
"Sentiment analysis of Canadian maritime case law: a sentiment case law and deep learning approach","International Journal of Information Technology","","","","10.1007/s41870-024-01820-2","Bola AbimbolaQing TanEnrique A. De La Cal Marín","2024","http://link.springer.com/article/10.1007/s41870-024-01820-2","Article"
"MoDALAS: addressing assurance for learning-enabled autonomous systems in the face of uncertainty","Software and Systems Modeling","","22","5","10.1007/s10270-023-01090-9","Michael Austin LangfordKenneth H. ChanJonathon Emil FleckPhilip K. McKinleyBetty H. C. Cheng","2023","http://link.springer.com/article/10.1007/s10270-023-01090-9","Article"
"Deep-learning for automated markerless tracking of infants general movements","International Journal of Information Technology","","15","8","10.1007/s41870-023-01497-z","H. AbbasiS. R. MolletS. A. WilliamsL. LimM. R. BattinT. F. BesierA. J. C. McMorland","2023","http://link.springer.com/article/10.1007/s41870-023-01497-z","Article"
"AutoQNN: An End-to-End Framework for Automatically Quantizing Neural Networks","Journal of Computer Science and Technology","","39","2","10.1007/s11390-022-1632-9","Cheng Gong 龚　成Ye Lu 卢　冶Su-Rong Dai 代素蓉Qian Deng 邓　倩Cheng-Kun Du 杜承昆Tao Li 李　涛","2024","http://link.springer.com/article/10.1007/s11390-022-1632-9","Article"
"Extremely Low-resource Multilingual Neural Machine Translation for Indic Mizo Language","International Journal of Information Technology","","15","8","10.1007/s41870-023-01480-8","Candy LalrempuiiBadal Soni","2023","http://link.springer.com/article/10.1007/s41870-023-01480-8","Article"
"Understanding and Detecting Inefficient Image Displaying Issues in Android Apps","Journal of Computer Science and Technology","","39","2","10.1007/s11390-022-1670-3","Wen-Jie Li 李文杰Jun Ma 马 骏Yan-Yan Jiang 蒋炎岩Chang Xu 许 畅Xiao-Xing Ma 马晓星","2024","http://link.springer.com/article/10.1007/s11390-022-1670-3","Article"
"Partial Petri Net Languages and their Properties","International Journal of Information Technology","","","","10.1007/s41870-024-01903-0","A. MahadeerR. ArulprakasamV. R. Dare","2024","http://link.springer.com/article/10.1007/s41870-024-01903-0","Article"
"Constructing a subject-based ontology through the utilization of a semantic knowledge graph","International Journal of Information Technology","","16","2","10.1007/s41870-023-01575-2","Chien D. C. TaThien Khai Tran","2024","http://link.springer.com/article/10.1007/s41870-023-01575-2","Article"
"A hybrid approach for medical images classification and segmentation to reduce complexity","Innovations in Systems and Software Engineering","","19","1","10.1007/s11334-022-00512-z","Ankit KumarSurbhi BhatiaRajat BhardwajKamred Udham SinghNeeraj varshneyLinesh Raja","2023","http://link.springer.com/article/10.1007/s11334-022-00512-z","Article"
"Performance estimation of joint user cluster pairing for 2-SUs CR-multi-user NOMA downlink system","International Journal of Information Technology","","16","2","10.1007/s41870-023-01672-2","S. ThiyagarajanK. KumarS. Renuka","2024","http://link.springer.com/article/10.1007/s41870-023-01672-2","Article"
"A Survey on Clock Synchronization in the Industrial Internet","Journal of Computer Science and Technology","","38","1","10.1007/s11390-023-2908-4","Fan DangXi-Kai SunKe-Bin LiuYi-Fan XuYun-Hao Liu","2023","http://link.springer.com/article/10.1007/s11390-023-2908-4","Article"
"A dual fuzzy with hybrid deep learning architecture based on CNN with hybrid metaheuristic algorithm for effective segmentation and classification","International Journal of Information Technology","","15","1","10.1007/s41870-022-01106-5","Shafeen NagoorS. Vinila Jinny","2023","http://link.springer.com/article/10.1007/s41870-022-01106-5","Article"
"Cardinality and relative cardinality on cubic intuitionistic fuzzy sets","International Journal of Information Technology","","","","10.1007/s41870-024-01876-0","Priyadharshini ManoharanJayanthi DuraisamySaranya Manoharan","2024","http://link.springer.com/article/10.1007/s41870-024-01876-0","Article"
"Towards dynamic and heterogeneous social IoT environments","Computing","","105","6","10.1007/s00607-022-01113-1","Daniel Flores-MartinJavier BerrocalJosé García-AlonsoJuan M. Murillo","2023","http://link.springer.com/article/10.1007/s00607-022-01113-1","Article"
"Extended group-based verification approach for secure M2M communications","International Journal of Information Technology","","15","5","10.1007/s41870-023-01284-w","T. Prabhakara RaoB. Satyanarayana Murthy","2023","http://link.springer.com/article/10.1007/s41870-023-01284-w","Article"
"Span(Graph): a canonical feedback algebra of open transition systems","Software and Systems Modeling","","22","2","10.1007/s10270-023-01092-7","Elena Di LavoreAlessandro GianolaMario RománNicoletta SabadiniPaweł Sobociński","2023","http://link.springer.com/article/10.1007/s10270-023-01092-7","Article"
"VulnArmor: mitigating software vulnerabilities with code resolution and detection techniques","International Journal of Information Technology","","","","10.1007/s41870-024-01775-4","Parul V. SindhwadPrateek RankaSiddhi MuniFaruk Kazi","2024","http://link.springer.com/article/10.1007/s41870-024-01775-4","Article"
"Top-down Text-Level Discourse Rhetorical Structure Parsing with Bidirectional Representation Learning","Journal of Computer Science and Technology","","38","5","10.1007/s11390-022-1167-0","Long-Yin ZhangXin TanFang KongPei-Feng LiGuo-Dong Zhou","2023","http://link.springer.com/article/10.1007/s11390-022-1167-0","Article"
"LeSS agile projects: a machine learning driven empirical model to predict the human resource allocation","International Journal of Information Technology","","16","2","10.1007/s41870-023-01513-2","Srinivasan VaidyanathanChamundeswari ArumugamKavya JaganathanSowmya RameshAnirudh AnandKarthik Raja Anandan","2024","http://link.springer.com/article/10.1007/s41870-023-01513-2","Article"
"IoT-enabled stacked ensemble of deep neural networks for the diagnosis of COVID-19 using chest CT scans","Computing","","105","4","10.1007/s00607-021-00971-5","Mohammad Shorfuzzaman","2023","http://link.springer.com/article/10.1007/s00607-021-00971-5","Article"
"Tracing security requirements in industrial control systems using graph databases","Software and Systems Modeling","","22","3","10.1007/s10270-022-01019-8","Awais TanveerChandan SharmaRoopak SinhaMatthew M. Y. Kuo","2023","http://link.springer.com/article/10.1007/s10270-022-01019-8","Article"
"Belief-DDoS: stepping up DDoS attack detection model using DBN algorithm","International Journal of Information Technology","","16","1","10.1007/s41870-023-01631-x","Putra WandaMarselina Endah Hiswati","2024","http://link.springer.com/article/10.1007/s41870-023-01631-x","Article"
"SNRLM: a cyber-physical based stepwise noise removal and learning model for automated quality assurance","International Journal of Information Technology","","16","3","10.1007/s41870-023-01452-y","Aashish AroraRajeev Gupta","2024","http://link.springer.com/article/10.1007/s41870-023-01452-y","Article"
"A two-staged NLP-based framework for assessing the sentiments on Indian supreme court judgments","International Journal of Information Technology","","15","4","10.1007/s41870-023-01273-z","Isha GuptaIndranath ChatterjeeNeha Gupta","2023","http://link.springer.com/article/10.1007/s41870-023-01273-z","Article"
"Early depression detection using ensemble machine learning framework","International Journal of Information Technology","","","","10.1007/s41870-024-01981-0","Imran KhanRekha Gupta","2024","http://link.springer.com/article/10.1007/s41870-024-01981-0","Article"
"A multilingual translator to SQL with database schema pruning to improve self-attention","International Journal of Information Technology","","15","6","10.1007/s41870-023-01342-3","Marcelo Archanjo JoseFabio Gagliardi Cozman","2023","http://link.springer.com/article/10.1007/s41870-023-01342-3","Article"
"Hybrid arithmetic optimization algorithm with deep transfer learning based microarray gene expression classification model","International Journal of Information Technology","","","","10.1007/s41870-024-01901-2","B. Shyamala GowriS. Anu H. NairK. P. Sanal Kumar","2024","http://link.springer.com/article/10.1007/s41870-024-01901-2","Article"
"Efficient latency-and-energy-aware IoT-fog-cloud task orchestration: novel algorithmic approach with enhanced arithmetic optimization and pattern search","International Journal of Information Technology","","16","5","10.1007/s41870-024-01807-z","Suresh Kumar SrichandanSantosh Kumar MajhiSudarson JenaKaushik MishraD. Chandrasekhar Rao","2024","http://link.springer.com/article/10.1007/s41870-024-01807-z","Article"
"Mitigating congestion in multi-agent traffic signal control: an efficient self-attention proximal policy optimization approach","International Journal of Information Technology","","16","4","10.1007/s41870-023-01545-8","Oussama CherguiLamri Sayad","2024","http://link.springer.com/article/10.1007/s41870-023-01545-8","Article"
"Trust-driven reinforcement selection strategy for federated learning on IoT devices","Computing","","106","4","10.1007/s00607-022-01078-1","Gaith RjoubOmar Abdel WahabJamal BentaharAhmed Bataineh","2024","http://link.springer.com/article/10.1007/s00607-022-01078-1","Article"
"Mobilenetv3: a deep learning technique for human face expressions identification","International Journal of Information Technology","","15","6","10.1007/s41870-023-01380-x","S. Babu Rajendra PrasadB. Sai Chandana","2023","http://link.springer.com/article/10.1007/s41870-023-01380-x","Article"
"DL-SkLSTM approach for cyber security threats detection in 5G enabled IIoT","International Journal of Information Technology","","16","1","10.1007/s41870-023-01651-7","Anjali RajakRakesh Tripathi","2024","http://link.springer.com/article/10.1007/s41870-023-01651-7","Article"
"Robot-based therapy for improving academic skills of children with autism","International Journal of Information Technology","","","","10.1007/s41870-024-01883-1","Fadi Abu-AmaraHeba MohammadAmeur Bensefia","2024","http://link.springer.com/article/10.1007/s41870-024-01883-1","Article"
"Person identification based on voice biometric using deep neural network","International Journal of Information Technology","","15","2","10.1007/s41870-022-01142-1","Noor D. AL-ShakarchyHadab Khalid ObayesZahraa Najm Abdullah","2023","http://link.springer.com/article/10.1007/s41870-022-01142-1","Article"
"An improvised CNN model for fake image detection","International Journal of Information Technology","","15","1","10.1007/s41870-022-01130-5","Yasir HamidSanaa ElyassamiYonis GulzarVeeran Ranganathan BalasaraswathiTetiana HabuzaSharyar Wani","2023","http://link.springer.com/article/10.1007/s41870-022-01130-5","Article"
"Temporal brain tumor progression tracking using deep learning and 3D MRI volume analysis","International Journal of Information Technology","","","","10.1007/s41870-024-01874-2","Mousa Abu MaizerBushra Alhijawi","2024","http://link.springer.com/article/10.1007/s41870-024-01874-2","Article"
