Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,
SAB: Stacking Action Blocks for Efficiently Generating Diverse Multimodal Critical Driving Scenario,S. Kang; H. Guo; Z. Bo; L. Zhang; Q. Dong; Y. Xue; Y. Wu,"University of Chinese Academy of Sciences, Beijing, China; University of Chinese Academy of Sciences, Beijing, China; University of Chinese Academy of Sciences, Beijing, China; Institute of Software Chinese Academy of Sciences, Beijing, China; Institute of Software Chinese Academy of Sciences, Beijing, China; Institute of Software Chinese Academy of Sciences, Beijing, China; Institute of Software Chinese Academy of Sciences, Beijing, China",2023 30th Asia-Pacific Software Engineering Conference (APSEC),2 Apr 2024,2023,,,211,220,"Exploring critical scenarios for autonomous driving is a challenging task that requires effectively generating diverse multimodal scenarios from an infinite parameter space. However, most search-based methods encounter the mode collapse problem, leading to the generation of similar concrete scenarios for a given logical scenario. Besides, they require training different models for potentially diverse logical scenarios, which consume considerable time. To tackle these challenges, we propose the Stacked Action Blocks (SAB) framework inspired by reusable modularity in software architecture. In this framework, we extract atomic actions from logical scenarios and train each atomic action using a multimodal model as an action block to mitigate the impact of mode collapse. By reusing these trained action blocks, we compose diverse critical scenarios, thereby reducing training costs. We extensively evaluated our approach in four complex driving scenarios and achieved superior performance in the Critical Scenario Generation (CSG) task compared to heuristic methods and search-based methods. We demonstrate that the independent training of these action blocks that are reusable and modular is an effective way to find diverse multimodal critical driving scenarios. In addition, we show that the driving policy becomes better at avoiding collisions after fine-tuning based on these critical scenarios.",2640-0715,979-8-3503-4417-2,10.1109/APSEC60848.2023.00031,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10479431,autonomous car;autonomous driving;AI test;reinforcement learning;critical scenario generation;simulation test,Training;Costs;Software architecture;Stacking;Search problems;Scenario generation;Task analysis,,,,50,IEEE,2 Apr 2024,,,IEEE,IEEE Conferences,,
A Comparative Analysis of Text Embedding Models for Bug Report Semantic Similarity,A. Patil; K. Han; A. Jadon,"Juniper Networks, Sunnyvale, USA; Juniper Networks, Sunnyvale, USA; Juniper Networks, Sunnyvale, USA",2024 11th International Conference on Signal Processing and Integrated Networks (SPIN),9 May 2024,2024,,,262,267,"Bug reports are an essential aspect of software development, and it is crucial to identify and resolve them quickly to ensure the consistent functioning of software systems. Retrieving similar bug reports from an existing database can help reduce the time and effort required to resolve bugs. In this paper, we compared the effectiveness of semantic textual similarity methods for retrieving similar bug reports based on a similarity score. We explored several embedding models such as TF-IDF (Baseline), FastText, Gensim, BERT, and ADA. We used the Software Defects Data containing bug reports for various software projects to evaluate the performance of these models. Our experimental results showed that BERT generally outperformed the rest of the models regarding recall, followed by ADA, Gensim, FastText, and TFIDF. Our study provides insights into the effectiveness of different embedding methods for retrieving similar bug reports and highlights the impact of selecting the appropriate one for this task. Our code is available on GitHub.",2688-769X,979-8-3503-0843-3,10.1109/SPIN60856.2024.10512000,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10512000,ADA;BERT;Bug Reports;Defect Reports;Duplicate Detection;Embeddings;FastText;Gensim;GPT3;GPT3.5;Information Retrieval;Large Language Models;LLM;Natural Language Processing;Sentence Textual Similarity;Similarity Search,Training;Analytical models;Limiting;Databases;Computer bugs;Semantics;Software systems,,,,25,IEEE,9 May 2024,,,IEEE,IEEE Conferences,,
DFuzzer: Diversity-Driven Seed Queue Construction of Fuzzing for Deep Learning Models,H. Dai; C. -A. Sun; H. Liu; X. Zhang,"School of Computer and Communication Engineering, University of Science and Technology Beijing, Beijing, China; School of Computer and Communication Engineering, University of Science and Technology Beijing, Beijing, China; Department of Computing Technologies, Swinburne University of Technology, Hawthorn, VIC, Australia; Department of Computer Science, Purdue University, West Lafayette, IN, USA",IEEE Transactions on Reliability,3 Jun 2024,2024,73,2,1075,1089,"In light of high-performance computer processing, massive datasets, and mighty algorithms, we are rapidly entering an age where the advanced deep learning (DL) capabilities are integrated into the contemporary software systems to fulfill critical tasks. Like “traditional” software, DL systems are not immune to faults, some of which may even cause catastrophic disasters. As a mainstream testing technique for DL systems, fuzzing attempts to generate a large amount of semirandom yet syntactically valid test cases, from which the so-called adversarial inputs can be found, indicating the detection of faults. Test cases in fuzzing are generated based on a seed queue, which is constructed by randomly selecting seeds from the existing test suite (that is, the set of test cases). In this article, we propose a diversity-driven approach, namely DFuzzer, for constructing seed queues in fuzzing. We particularly develop two algorithms, namely DFuzzer-IB and DFuzzer-FB, based on the information theory and deep features, respectively, to improve the diversity of seed queues. Experimental studies have been conducted to evaluate the proposed techniques based on five fuzzers, three datasets, and seven DL models. The experimental results show that both strategies can significantly improve the performance of the state-of-the-art fuzzers for DL, including DeepXplore, DLFuzz, Tensorfuzz, DeepHunter, and DeepSmartFuzzer, not only in terms of finding more adversarial inputs for triggering faults but also achieving higher coverage. Our article demonstrates that the improved diversity of seed queues and the resultant test cases can help achieve a high testing effectiveness of fuzzing.",1558-1721,,10.1109/TR.2023.3322406,"National Natural Science Foundation of China(grant numbers:62272037,61872039); Aeronautical Science Foundation of China(grant numbers:2016ZD74004); Fundamental Research Funds for the Central Universities(grant numbers:FRF-GF-19-019B); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10288417,Deep learning (DL) systems;fuzzing;software testing,Fuzzing;Testing;Deep learning;Complexity theory;Electronic mail;Data models;Sun,,1,,57,IEEE,20 Oct 2023,,,IEEE,IEEE Journals,,
Syntactic Versus Semantic Similarity of Artificial and Real Faults in Mutation Testing Studies,M. Ojdanic; A. Garg; A. Khanfir; R. Degiovanni; M. Papadakis; Y. Le Traon,"University of Luxembourg, Luxembourg; University of Luxembourg, Luxembourg; University of Luxembourg, Luxembourg; University of Luxembourg, Luxembourg; University of Luxembourg, Luxembourg; University of Luxembourg, Luxembourg",IEEE Transactions on Software Engineering,17 Jul 2023,2023,49,7,3922,3938,"Fault seeding is typically used in empirical studies to evaluate and compare test techniques. Central to these techniques lies the hypothesis that artificially seeded faults involve some form of realistic properties and thus provide realistic experimental results. In an attempt to strengthen realism, a recent line of research uses machine learning techniques, such as deep learning and Natural Language Processing, to seed faults that look like (syntactically) real ones, implying that fault realism is related to syntactic similarity. This raises the question of whether seeding syntactically similar faults indeed results in semantically similar faults and, more generally whether syntactically dissimilar faults are far away (semantically) from the real ones. We answer this question by employing 4 state-of-the-art fault-seeding techniques (PiTest - a popular mutation testing tool, IBIR - a tool with manually crafted fault patterns, DeepMutation - a learning-based fault seeded framework and $\mu$μBERT - a mutation testing tool based on the pre-trained language model CodeBERT) that operate in a fundamentally different way, and demonstrate that syntactic similarity does not reflect semantic similarity. We also show that 65.11%, 76.44%, 61.39% and 9.76% of the real faults of Defects4J V2 are semantically resembled by PiTest, IBIR, $\mu$μBERT and DeepMutation faults, respectively.",1939-3520,,10.1109/TSE.2023.3277564,"Luxembourg National Research Fund(grant numbers:C19/IS/13646587/RASoRS,PayPal); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10136793,Fault injection;fault seeding;machine learning;mutation testing;semantic model;syntactic distance,Syntactics;Semantics;Testing;Measurement;Codes;Bit error rate;Pattern matching,,2,,57,CCBY,26 May 2023,,,IEEE,IEEE Journals,,
Fuzz Testing Based on Seed Diversity Analysis,W. Lan; Z. Cui; J. Zhang; J. Yang; X. Gu,"School of Computer Science, Beijing Information Science and Technology University, Beijing, China; School of Computer Science, Beijing Information Science and Technology University, Beijing, China; School of Computer Science, Beijing Information Science and Technology University, Beijing, China; School of Computer Science, Beijing Information Science and Technology University, Beijing, China; School of Computer Science, Beijing Information Science and Technology University, Beijing, China","2023 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",29 Jan 2024,2023,,,145,150,"Fuzz testing is a widely used technique to detect software defects and vulnerabilities. Coverage-guided fuzzing aims to improve code coverage by generating offspring test cases through mutation, executing the program under test, and retaining interesting seeds for subsequent mutations using customized genetic algorithms. However, existing fuzzing tools rarely consider the similarity between seeds during mutation. Mutating similar seeds frequently generates similar offspring test cases, which results in similar coverage and reduces the efficiency of fuzz testing. To alleviate the impact of this problem on fuzz testing, this paper proposes a fuzz testing method based on seed diversity analysis, which focuses on the characteristics of seeds and uses byte sequences as a feature to measure the similarity between seeds. It collects seeds that can cover new edges and constructs a shorter seed queue with significant differences based on this feature, which replaces the original seed queue for mutation. Based on the proposed method, we implement the prototype tools AFL-Varied and Neuzz-Varied. Compared with AFL and Neuzz on six projects, the edge coverage and basic block coverage can be increased by 214.57% and 233.33 % at most, respectively.",2577-1655,979-8-3503-3702-0,10.1109/SMC53992.2023.10394486,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10394486,fuzz testing;coverage;seed diversity;clustering,Codes;Scalability;Refining;Prototypes;Fuzzing;Software;Genetic algorithms,,,,17,IEEE,29 Jan 2024,,,IEEE,IEEE Conferences,,
A Metamorphic Testing Framework and Toolkit for Modular Automated Driving Systems,R. Underwood; Q. -H. Luu; H. Liu,"Department of Computing Technologies, Swinburne University of Technology, Melbourne, Australia; Department of Computing Technologies, Swinburne University of Technology, Melbourne, Australia; Department of Computing Technologies, Swinburne University of Technology, Melbourne, Australia",2023 IEEE/ACM 8th International Workshop on Metamorphic Testing (MET),27 Jul 2023,2023,,,17,24,"Autonomous vehicles (AV), at their highest potentials, will provide a greater mobility, an increased traffic efficiency and, more importantly, safer trips for millions of people every day. While assuring their safety and reliability is, thus, of great importance, it is also a huge challenge. Metamorphic testing (MT) has been shown to be one of the most successful testing techniques to validate automated driving systems (ADS) underpinning the AV. Having said that, there are still lots of rooms for further improving the ADS testing with MT. On one hand, the non-determinism in ADS’ behaviors poses great challenges for precisely judging their correctness. On the other hand, the testing scenarios used in the existing studies are still not very much complex for mimicking various realistic traffic conditions. In this study, we propose a new framework which takes into account the hypothesis testing to provide a more solid way for judging the non-deterministic behaviors of test outcomes. On top of that, we develop a new toolkit to implement more complex and realistic ADS testing scenarios. To demonstrate its practicability, we design complex traffic scenarios and pay attention to examine the ADS’ behaviors in non-collision cases which are often unable to be detected by conventional testing methods. It is then applied to test Autoware, a state-of-the-art modular ADS using the Carla simulator. An analysis of results with the Mann-Whitney-Wilcoxon test and Cohen’s d values reveals a large number of consistencies and reliability issues of Autoware. The findings highlight the flexibility and capability of our MT-based framework in validating the AV using a nondeterministic measure and realistic scenarios that can work in the absence of ground truth datasets.",,979-8-3503-0176-2,10.1109/MET59151.2023.00010,Australian Research Council; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10190416,Metamorphic testing;self-driving cars;autonomous vehicles;diversity of traffic scenarios,Art;Conferences;Buildings;Solids;Behavioral sciences;Safety;Reliability,,,,30,IEEE,27 Jul 2023,,,IEEE,IEEE Conferences,,
Fuzzing with Sequence Diversity Inference for Sequential Decision-making Model Testing,K. Wang; Y. Wang; J. Wang; Q. Wang,"State Key Laboratory of Intelligent Game, Beijing, China; State Key Laboratory of Intelligent Game, Beijing, China; State Key Laboratory of Intelligent Game, Beijing, China; State Key Laboratory of Intelligent Game, Beijing, China",2023 IEEE 34th International Symposium on Software Reliability Engineering (ISSRE),2 Nov 2023,2023,,,706,717,"Nowadays increasing AI techniques, e.g., reinforcement learning, imitation learning, etc., are applied to solve sequential decision-making problems by modeling them as Markov Decision Process (MDP), and achieve superior performance in areas, such as video games, robotics and autonomous driving etc. The reliability of such models is facing severe challenges especially in some safety-critical areas, where failures would bring intolerable disasters. Existing works testing episodic decision-making models are not workable, since they neglect the nature of sequentiality and interactivity in MDP. While other works testing sequential decision-making models are challenged by low testing efficiency because the interaction of MDP is time-consuming. In this paper, we propose an optimized fuzzing framework SeqDivFuzz which infers the sequence diversity during the MDP interaction process to effectively and efficiently test sequential decision-making models in blackbox settings. It adapts the existing fuzzing framework, including Seed Selection, Seed Mutation, Feedback Analysis and integrating a module of Diversity Inference to accelerate the fuzzing procedure. The module learns historical in-process information to check the diversity of test cases when running up to checkPoint in the course of MDP, and early terminating those non-diverse ones. We conduct experimental evaluation with four models involving three simulation environments. The results reflect that SeqDivFuzz exposes 12.3%~49.1% more crashes during a 12-hour testing procedure in four pairs of models and environments compared with the state-of-the-art fuzzing framework. The idea of in-process terminating can potentially boost other techniques for testing sequential decision-making models.",2332-6549,979-8-3503-1594-3,10.1109/ISSRE59848.2023.00041,National Natural Science Foundation of China; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10301250,Fuzzing testing;Sequential decision-making;Markov decision process,Adaptation models;Video games;Decision making;Closed box;Life estimation;Fuzzing;Markov processes,,,,50,IEEE,2 Nov 2023,,,IEEE,IEEE Conferences,,
Transcend Adversarial Examples: Diversified Adversarial Attacks to Test Deep Learning Model,W. Kong,"National Key Laboratory of Science and Technology on Information System Security, Beijing, China",2023 IEEE 41st International Conference on Computer Design (ICCD),22 Dec 2023,2023,,,13,20,"Existing optimized adversarial attacks rely on the ability to search for perturbation within lp norm while keeping maximized loss for highly non-convex loss functions. Random initialization perturbation and the steepest gradient direction strategy are efficient techniques to prevent falling into local optima but compromise the capability of diversity exploration. Therefore, we introduce the Diversity-Driven Adversarial Attack (DAA), which incorporates Output Diversity Strategy (ODS) and diverse initialization gradient direction into the optimized adversarial attack algorithm, aiming to refine the inherent properties of the adversarial examples (AEs). More specifically, we design a diversity-promoting regularizer to penalize the insignificant distance between initialization gradient directions based on the version of ODS. Extensive experiments demonstrate that DAA can efficiently improve existing coverage criteria without sacrificing the performance of attack success rate, which implies that DAA can implicitly explore more internal model logic of DL model.",2576-6996,979-8-3503-4291-8,10.1109/ICCD58817.2023.00013,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10360997,Adversarial Attack;Diversity;Robustness and Security;Test Deep Learning Model,Deep learning;Measurement;Perturbation methods;Computational modeling;Computer security;Testing,,,,31,IEEE,22 Dec 2023,,,IEEE,IEEE Conferences,,
Applying Binary Code Similarity Detection on Acceleration Processor,G. Yin; Y. Tang; W. Xie; Z. Luo; Y. Wang,"College of Computer, National University of Defense Technology, Changsha, China; College of Computer, National University of Defense Technology, Changsha, China; College of Computer, National University of Defense Technology, Changsha, China; College of Computer, National University of Defense Technology, Changsha, China; College of Computer, National University of Defense Technology, Changsha, China",2023 4th International Conference on Computer Engineering and Intelligent Control (ICCEIC),13 Feb 2024,2023,,,454,459,"Binary code similarity detection, as an integral part of network security, has remained a hot spot in the research fields of intellectual property protection, vulnerability detection, patch analysis, and malicious software detection. It carries significant usability value. With the rapid development of deep learning and neural network technologies, new algorithms and thoughts have been introduced into the research of binary code similarity detection, achieving breakthrough progress. MT-3000, a heterogeneous multi-zone acceleration processor, which is entirely designed and implemented by National University of Defense Technology, possesses powerful computing performance. In this paper, based on the latest deep learning theory and using the domestically produced and controllable high-performance MT-3000 acceleration processor for relevant tests and researches on the binary code similarity detection, proposes relevant conclusions and suggestions.",,979-8-3503-0887-7,10.1109/ICCEIC60201.2023.10426711,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10426711,code similarity detection;deep learning;MT-3000;Euclidean distance,Deep learning;Ecosystems;Software algorithms;Process control;Binary codes;Life estimation;Usability,,,,10,IEEE,13 Feb 2024,,,IEEE,IEEE Conferences,,
Text Data Processing on Non-Functional Requirement for the Similarity Between Requirement Elicitation with Deployment Diagram and Recommendation for SRS Improvement,Z. Zahra; Y. Priyadi,"Department of Informatics, Telkom University, Bandung, Indonesia; Department of Software Engineering, Telkom University, Bandung, Indonesia",2023 IEEE World AI IoT Congress (AIIoT),13 Jul 2023,2023,,,830,836,"The discrepancy between the developer’s understanding of the client’s wishes in the Software Requirement Specification document is one of the backgrounds in this research. This research uses SRS Baker’s Corner, which is an Android-based cake and pastry product ordering platform. The primary purpose of this research is to process text data on Non-Functional Requirements, where the extraction results can be used as a reference for comparing the suitability between Requirement Elicitation and Deployment Diagram with the text pre-processing method. This research has produced two similarity values, namely between Requirement Elicitation with Non-Functional Requirement and Non-Functional Requirement with Deployment Diagram based on the results of text data extraction in d1-d15. The naming of d1 to d15 is an identity for a text document. The value ""d"" stands for ""document."" In the search process for Requirement Elicitation with Non-Functional Requirement, the cosine similarity value closest to 1 is 0.751304, obtained from d2 and d6. Based on the cosine similarity value, the kappa index value is 0.54488 or has a moderate proportion of agreement, and Gwet’s AC1 value is 0.88041, which has an almost perfect proportion of agreement. In the search process for Non-Functional Requirement with Deployment Diagram, the cosine similarity value, which is relatively high, is 0.604605, which is obtained from d6 and d11. Based on the cosine similarity value, the kappa index value is 0.30845 or has a fair proportion of agreement, and Gwet’s AC1 value is 0.95837, which has an almost perfect proportion of agreement. In addition to producing similarity values, there are improvement recommendations for documents with relatively low kappa index values.",,979-8-3503-3761-7,10.1109/AIIoT58121.2023.10174437,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10174437,Extraction;Similarity;Requirement Elicitation;Non-Functional Requirement;Deployment Diagram,Operating systems;Data processing;Software;Indexes;Data mining;Artificial intelligence,,1,,23,IEEE,13 Jul 2023,,,IEEE,IEEE Conferences,,
GuiDiv: Mitigating Code-reuse Attack in an IoT Cluster Using Guided Control Flow Diversification,Y. Li; Q. Zhou; B. Li; Y. Zhuang,"School of Cyber Science and Engineering, Zhengzhou University, Zhengzhou, China; School of Computer and Artificial Intelligence, Zhengzhou University, Zhengzhou, China; School of Computer and Artificial Intelligence, Zhengzhou University, Zhengzhou, China; School of Cyber Science and Engineering, Zhengzhou University, Zhengzhou, China","2023 IEEE 22nd International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom)",29 May 2024,2023,,,422,433,"Code randomization, aka software diversification, is an effective way to mitigate code-reuse attacks. This mechanism diversifies the target software into heterogeneous variants, making a specific attack chain unfeasible for the transformed variants. Enhancing the heterogeneity of these variants is important for this method to reach its expected security level. Additionally, limiting their execution overhead is necessary to ensure the availability of this protection. However, finding the optimal subset among a large number of diversified variants is computationally difficult. This creates a dilemma in software diversification schema where enhancing heterogeneity and reducing execution overhead are both desired.To ensure a determined code quality control in generating software variants, we propose a guided software diversification mechanism (called GuiDiv). GuiDiv formalizes the iterate-used transformations into a branching process of a tree (called DivTree) and introduces an optimization process (called nodemerging) to guide the diversification. The optimizer evaluates the intermediate compilation results using multi-target evaluation functions in each iteration. This process aims to optimize the contribution of structural heterogeneity from redundant instructions, allowing variants with higher structural dissimilarity and lower overhead to have a higher chance of participating in the next iteration. We developed a proof-of-concept compilation module and used OpenSSL as the performance benchmark. In the evaluations, compared to related schemes, GuiDiv can bring higher control flow dissimilarity in most test cases. Regarding the variant heterogeneity, variants generated by GuiDiv exhibit significantly lower execution overhead.",2324-9013,979-8-3503-8199-3,10.1109/TrustCom60117.2023.00073,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10538815,internet of things;code-reuse attack;code randomization;guided software diversification,Codes;Limiting;Merging;Software algorithms;Quality control;Software;Security,,,,46,IEEE,29 May 2024,,,IEEE,IEEE Conferences,,
Revisiting Binary Code Similarity Analysis Using Interpretable Feature Engineering and Lessons Learned,D. Kim; E. Kim; S. K. Cha; S. Son; Y. Kim,"KAIST, Daejeon, South Korea; KAIST, Daejeon, South Korea; KAIST, Daejeon, South Korea; KAIST, Daejeon, South Korea; KAIST, Daejeon, South Korea",IEEE Transactions on Software Engineering,18 Apr 2023,2023,49,4,1661,1682,"Binary code similarity analysis (BCSA) is widely used for diverse security applications, including plagiarism detection, software license violation detection, and vulnerability discovery. Despite the surging research interest in BCSA, it is significantly challenging to perform new research in this field for several reasons. First, most existing approaches focus only on the end results, namely, increasing the success rate of BCSA, by adopting uninterpretable machine learning. Moreover, they utilize their own benchmark, sharing neither the source code nor the entire dataset. Finally, researchers often use different terminologies or even use the same technique without citing the previous literature properly, which makes it difficult to reproduce or extend previous work. To address these problems, we take a step back from the mainstream and contemplate fundamental research questions for BCSA. Why does a certain technique or a certain feature show better results than the others? Specifically, we conduct the first systematic study on the basic features used in BCSA by leveraging interpretable feature engineering on a large-scale benchmark. Our study reveals various useful insights on BCSA. For example, we show that a simple interpretable model with a few basic features can achieve a comparable result to that of recent deep learning-based approaches. Furthermore, we show that the way we compile binaries or the correctness of underlying binary analysis tools can significantly affect the performance of BCSA. Lastly, we make all our source code and benchmark public and suggest future directions in this field to help further research.",1939-3520,,10.1109/TSE.2022.3187689,Institute of Information & Communications Technology Planning & Evaluation(grant numbers:2021-0-01332); Developing Next-Generation Binary Decompiler; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9813408,Binary code similarity analysis;similarity measures;feature evaluation and selection;benchmark,Benchmark testing;Computer architecture;Binary codes;Syntactics;Semantics;Licenses;Market research,,16,,166,CCBY,1 Jul 2022,,,IEEE,IEEE Journals,,
Towards Developer-Centered Secure Coding Training,V. Pikulin; D. Kubo; K. Nissanka; S. Bandara; M. A. Shamsiemon; A. Yasmin; A. Jayatilaka; A. Madugalla; T. Kanij,"Depatment of Engineering, Monash University, Kuala Lumpur, Malaysia; Depatment of Engineering, Monash University, Kuala Lumpur, Malaysia; Depatment of Engineering, Monash University, Kuala Lumpur, Malaysia; Depatment of Engineering, Monash University, Kuala Lumpur, Malaysia; Depatment of Engineering, Monash University, Kuala Lumpur, Malaysia; Depatment of Engineering, Monash University, Kuala Lumpur, Malaysia; Centre for Research on Engineering Software Technologies (CREST), The University of Adelaide, Adelaide, Australia; Department of Software Systems and Cybersecurity, Monash University, Melbourne, Australia; Department of Software Systems and Cybersecurity, Monash University, Melbourne, Australia",2023 38th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW),2 Nov 2023,2023,,,24,31,"Software security continues to be a matter of concern for both end-users and developers, with the cost of potential lapses expected to become larger as software plays a larger role in society. Despite investments in secure coding training programmes, organisations are not achieving the expected success rate. An often overlooked reason for this among many others is that current training programmes are not tailored to consider the diversity among software developers as it relates to human aspects. In this research, data was gathered from software developers of various backgrounds on their perceptions of secure coding training, their expectations from and challenges with such a training program. The findings suggest that developers with personality traits of agreeableness tend to ignore secure coding standards. Additionally, developers with higher work experience tend to demand storage management, responsible use of privileges, security and privacy laws and testing topics to be included in the secure coding training. Furthermore, in terms of training structure, developers with higher openness tend to demand hands-on training to be included. The study's findings seek to inform future researchers and organisations on factors to consider when designing adaptive secure coding programs that would address the needs of developers from different backgrounds.",2151-0849,979-8-3503-3032-8,10.1109/ASEW60602.2023.00008,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10298735,Secure Coding;Programming;Cybersecurity;Training;Developers;Diversity;Human Aspects,Training;Privacy;Storage management;Encoding;Software;Security;Standards,,1,,21,IEEE,2 Nov 2023,,,IEEE,IEEE Conferences,,
Tibetan Few-Shot Learning Model Based on Matching Networks,Z. Zhang; G. Xiong; Y. Yu; X. Wang; X. Feng; N. Tashi,"School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information Science and Technology, Tibet University, Lhasa, China",2023 International Conference on Neuromorphic Computing (ICNC),19 Mar 2024,2023,,,446,451,"This paper highlights the low-resource Tibetan few-shot learning model and establishes accuracy benchmarks utilizing Matching Networks (MN). Addressing the issues of low quality and limited usability in the existing Tibetan-Chinese parallel corpus, this paper constructs a small-scale and high-quality Tibetan-Chinese parallel corpus containing 110,000 sentence pairs using data filtering, deduplication, deletion of blank lines, and special symbol processing. Based on full context embeddings, Softmax-based attention mechanisms, and similarity metrics, the Tibetan few-shot learning model based on MN is proposed to help the model learn logical Tibetan knowledge rapidly from few-shot data. Different distance metrics on Cosine, Euclidean, Poincare, and Minkowski distances are used to test the accuracy of the Tibetan k-shot learning model, which provides a unified and reliable benchmark for the Tibetan few-shot learning tasks. This research provides substantial assistance in solving the issues of machine learning performing poorly in low-resource settings. The experiment results demonstrate that the accuracy of all metrics is improved with the number of shots increased, and Euclidean distance performs well in 5-way 1-shot learning, cosine performs well in 5-way 2-shot learning, and Minkowski distance $(\mathrm{p}=3)$ shows excellent accuracy in 5-way 3-shot learning. Notably, we used our own Tibetan data set and succeeded in enhancing accuracy by a noteworthy 1.6% in a 5-way 3-shot setup.",,979-8-3503-1688-9,10.1109/ICNC59488.2023.10462784,National Natural Science Foundation of China; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10462784,Tibetan;few-shot learning;matching networks;machine learning;similarity metrics,Measurement;Training;Symbols;Benchmark testing;Solids;Data models;Usability,,,,20,IEEE,19 Mar 2024,,,IEEE,IEEE Conferences,,
"Development of Class Diagrams Based on Use Case, and Sequence Diagrams Using a Text Mining Approach in SRS Penguin",N. F. Setiyawan; Y. Priyadi; W. Astuti,"Department of Informatics, Telkom University, Bandung, Indonesia; Department of Software Engineering, Telkom University, Bandung, Indonesia; Department of Informatics, Telkom University, Bandung, Indonesia",2023 IEEE World AI IoT Congress (AIIoT),13 Jul 2023,2023,,,70,76,"Software requirement specification is a document that can be used as a guide for developers to develop applications. This study uses SRS from the Penguin application to help determine the development of class diagrams based on use case and sequence diagrams using the text mining method. The results of this process will be calculated for similarity, after which validation and testing will be carried out using Gwet’s AC1 and Cohen Kappa. Based on the results and discussion, three artifacts were formed, namely actors from use case diagrams (AUC), objects from sequence diagrams (OSD), and class names from class diagrams (NCD). The three artifacts produce two comparisons in the formation of class diagrams. The first comparison is between AUC and NCD, with the highest cosine similarity score of 0.666. From this score, the resulting construction of class diagram component names is seller and customer. The first comparison also resulted in a score of 0.088 for Cohen Kappa and 0.756 for Gwet’s AC1. Furthermore, for the second comparison, between OSD and NCD, two results were obtained with the same score, namely 0.9. This score resulted in the formation of class component names such as seller, transaction page, revenue page, expenditure page, and penguin app system. And the second comparison has a Cohen kappa score of 0.112 and 0.926 for Gwet’s AC1 score. The results of the Cohen Kappa score, and Gwet’s AC1 can be used as recommendations for improving class names that match the actors names in use case diagram, and object names in the sequence diagram.",,979-8-3503-3761-7,10.1109/AIIoT58121.2023.10174287,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10174287,software requirement specification;class diagram;use case diagram;text mining;similarities;validation,Text mining;Software;Artificial intelligence;Testing,,1,,27,IEEE,13 Jul 2023,,,IEEE,IEEE Conferences,,
